GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,29.0,927400,0,0.0,35.275,42.608,41.897,37.019,55,  -, -, 0.00%,  0.00%,  0.00%, 1.74%,  3.54%,  1.54%, 2.27%,  3.19%,  6.62%, 5.08%,  3.81%, 29.47%,42.76%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,78937.56,8296.73,6967.53,606498.34,20,235,129.53,56,147,127.94,94,173,123.45, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.18%, 0.00%,0.00%, 7.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.96%, 0.00%,0.00%, 8.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,417.7,0.4,334.1,0.0,1600.4,0.0,654.1,5.867,69
0,1,False,2, b-SLICE,1,34.0,229080,0,1.35,32.036,40.589,39.879,34.085,56, 0 ,2 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.30%,  0.80%,  6.40%,  5.01%, 12.12%,  7.73%, 30.79%, 16.32%,  0.00%,  0.08%,  1.59%,  6.14%,  0.02%,  0.72%,  2.68%,  9.30%,167770.0,12395.06,13177.57,397057.66,19,235,124.1,56,146,127.37,93,173,124.2, 0.00%, 1.79%,0.00%, 17.86%, 8.93%, 48.21%, 12.50%, 8.04%, 2.68%, 0.00%, 6.51%,0.00%, 21.17%, 31.27%, 20.77%, 7.25%, 9.12%, 3.91%, 0.00%, 16.46%,0.00%, 25.42%, 28.33%, 9.53%, 7.70%, 6.28%, 6.28%, 0.00%, 22.53%,0.00%, 22.85%, 30.80%, 4.67%, 8.56%, 2.42%, 8.16%,0.00%,520.5,232.4,166.1,105.0,518.9,0.0,812.0,3.899,81
0,2,False,1, P-SLICE,2,32.0,537776,0,1.76,34.222,41.405,40.784,35.94,54, 0 , -, 0.00%,  0.00%,  0.00%, 2.15%,  2.17%,  3.68%, 4.04%,  4.37%, 16.15%, 5.92%,  4.73%, 37.94%, 0.00%,  0.11%,  0.20%,  3.25%,  0.29%,  6.26%,  0.52%,  6.73%,  1.05%,  0.00%,  0.00%,  0.02%,  0.29%,  0.00%,  0.00%,  0.00%,  0.14%,105635.39,10895.39,7968.81,1280254.23,20,235,127.58,58,146,127.11,95,172,124.36, 0.00%, 0.00%,0.00%, 0.00%, 35.29%, 23.53%, 0.00%, 41.18%, 0.00%, 69.33%, 0.00%,0.00%, 7.98%, 20.19%, 0.70%, 0.08%, 1.56%, 0.16%, 74.37%, 0.05%,0.00%, 12.30%, 11.69%, 0.60%, 0.33%, 0.46%, 0.19%, 78.07%, 0.70%,0.00%, 12.41%, 7.13%, 0.41%, 0.38%, 0.28%, 0.62%,0.00%,512.9,84.7,273.2,141.5,1109.7,0.0,758.5,5.041,26
0,3,False,3, P-SLICE,3,32.0,501688,0,1.53,35.192,41.889,41.56,36.825,55, 2 0 , -, 0.00%,  0.00%,  0.00%, 3.42%,  4.60%,  6.38%, 3.49%,  3.70%, 18.22%, 4.79%,  4.39%, 30.74%, 0.00%,  0.07%,  0.23%,  3.49%,  0.42%,  7.84%,  0.55%,  6.31%,  0.65%,  0.00%,  0.00%,  0.00%,  0.44%,  0.00%,  0.00%,  0.00%,  0.28%,84965.07,9533.73,6332.75,1095497.6,19,233,128.28,57,146,127.42,96,173,124.52, 0.00%, 0.00%,0.00%, 7.69%, 15.38%, 38.46%, 0.00%, 38.46%, 0.00%, 78.66%, 0.00%,0.00%, 4.17%, 14.90%, 0.76%, 0.25%, 1.14%, 0.13%, 70.72%, 0.00%,0.00%, 14.09%, 13.64%, 0.64%, 0.45%, 0.32%, 0.13%, 73.18%, 1.31%,0.00%, 16.74%, 7.58%, 0.15%, 0.36%, 0.15%, 0.53%,0.00%,527.3,225.6,264.7,105.0,1184.8,0.0,900.9,5.368,75
0,4,False,6, b-SLICE,4,34.0,901432,1,1.03,30.237,38.854,38.322,32.325,57, 3 2 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.52%,  0.59%, 12.81%,  2.28%, 23.41%,  4.09%, 38.21%, 11.89%,  0.00%,  0.00%,  0.34%,  1.63%,  0.00%,  0.05%,  1.15%,  3.03%,260532.25,19204.36,10607.21,2943038.75,16,235,117.17,59,147,126.69,90,198,125.2, 0.00%, 0.00%,0.00%, 22.45%, 24.49%, 26.53%, 2.04%, 23.47%, 1.02%, 0.00%, 0.30%,0.00%, 31.04%, 53.58%, 6.79%, 1.42%, 4.93%, 1.94%, 0.00%, 4.80%,0.00%, 29.96%, 52.07%, 4.62%, 1.35%, 4.40%, 2.80%, 0.00%, 7.56%,0.00%, 26.36%, 46.77%, 2.85%, 5.01%, 3.45%, 8.00%,0.00%,2.4,320.3,302.0,129.6,1329.2,0.0,1374.6,5.426,51
0,5,False,5, B-SLICE,5,33.0,1102376,0,1.49,30.711,39.112,38.362,32.718,55, 3 2 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.65%,  0.53%, 14.39%,  1.87%, 28.98%,  2.66%, 41.64%,  8.67%,  0.00%,  0.00%,  0.00%,  0.34%,  0.00%,  0.00%,  0.00%,  0.29%,229872.24,18451.62,10936.2,3763268.34,16,235,118.5,59,148,126.4,91,197,125.07, 0.00%, 0.00%,0.00%, 12.24%, 42.86%, 16.33%, 6.12%, 20.41%, 2.04%, 0.00%, 0.00%,0.00%, 26.66%, 61.86%, 5.08%, 1.10%, 4.93%, 0.37%, 0.00%, 0.00%,0.00%, 25.48%, 66.67%, 3.36%, 0.53%, 2.83%, 1.13%, 0.00%, 1.07%,0.00%, 26.98%, 57.04%, 2.20%, 4.26%, 2.12%, 6.32%,0.00%,3.3,268.4,323.5,149.8,1298.7,0.0,1222.0,5.307,31
0,6,False,7, b-SLICE,6,34.0,315872,0,1.66,31.09,39.148,38.252,32.993,56, 5 3 2 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.06%,  0.07%,  1.47%,  3.04%,  9.64%, 10.19%, 30.29%, 26.65%,  0.00%,  0.03%,  0.95%,  5.04%,  0.00%,  0.07%,  1.71%, 10.78%,218885.26,18128.92,8559.03,499754.84,16,235,118.27,54,148,126.45,91,197,124.77, 0.00%, 0.00%,0.00%, 0.00%, 45.45%, 45.45%, 9.09%, 0.00%, 0.00%, 0.00%, 2.23%,0.00%, 15.84%, 16.09%, 31.93%, 14.85%, 14.23%, 4.83%, 0.00%, 11.31%,0.00%, 25.57%, 19.84%, 18.07%, 12.40%, 7.23%, 5.58%, 0.00%, 20.76%,0.00%, 20.49%, 23.82%, 6.54%, 13.49%, 4.87%, 10.09%,0.00%,4.3,270.3,306.5,129.5,821.6,0.0,1370.3,4.258,34
0,7,False,4, P-SLICE,7,32.0,687432,0,1.21,33.013,40.919,39.833,34.854,52, 3 2 0 , -, 0.00%,  0.00%,  0.00%, 1.29%,  1.77%,  1.94%, 2.95%,  3.45%, 14.26%, 5.59%,  5.04%, 40.42%, 0.00%,  0.05%,  0.03%,  3.86%,  0.18%,  7.04%,  0.23%, 10.32%,  1.27%,  0.00%,  0.00%,  0.00%,  0.17%,  0.00%,  0.00%,  0.00%,  0.15%,136137.99,13009.22,9947.67,1093877.78,16,235,123.31,52,147,127.41,92,189,123.92, 0.00%, 0.00%,0.00%, 0.00%, 60.00%, 0.00%, 0.00%, 40.00%, 0.00%, 55.28%, 0.00%,0.00%, 16.75%, 25.96%, 0.92%, 0.08%, 0.84%, 0.17%, 70.47%, 0.00%,0.00%, 12.13%, 16.62%, 0.34%, 0.13%, 0.21%, 0.10%, 75.61%, 0.47%,0.00%, 10.81%, 11.23%, 0.33%, 0.59%, 0.26%, 0.71%,0.00%,533.9,348.7,306.7,122.5,1352.6,0.0,1055.1,5.316,26
0,8,False,10, b-SLICE,8,34.0,386904,0,1.01,30.861,39.897,38.416,32.935,57, 7 5 ,9 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  0.17%,  3.83%,  2.79%, 14.27%,  9.14%, 40.04%, 18.70%,  0.00%,  0.04%,  0.71%,  3.85%,  0.00%,  0.03%,  0.82%,  5.45%,223113.42,16366.26,13355.01,591467.29,16,235,126.01,54,148,127.9,91,197,123.61, 0.00%, 0.00%,0.00%, 8.33%, 41.67%, 31.25%, 2.08%, 10.42%, 6.25%, 0.00%, 1.03%,0.00%, 24.79%, 32.44%, 24.38%, 4.75%, 9.30%, 3.31%, 0.00%, 5.80%,0.00%, 28.65%, 30.66%, 14.99%, 7.44%, 7.12%, 5.33%, 0.00%, 12.87%,0.00%, 25.92%, 35.31%, 4.31%, 9.48%, 2.53%, 9.58%,0.00%,3.9,139.9,219.6,118.7,746.7,0.0,1572.4,3.971,69
0,9,True,9, B-SLICE,9,33.0,336376,0,1.39,33.211,40.315,39.281,34.858,55, 7 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  0.04%,  2.31%,  2.40%, 15.72%,  8.31%, 38.05%, 18.01%,  0.00%,  0.00%,  1.00%,  5.80%,  0.00%,  0.04%,  1.10%,  7.14%,141598.63,13886.72,6360.93,435040.79,20,235,116.03,52,147,126.74,91,200,124.71, 0.00%, 0.00%,0.00%, 30.00%, 40.00%, 15.00%, 5.00%, 10.00%, 0.00%, 0.00%, 0.76%,0.00%, 28.61%, 20.00%, 30.63%, 7.34%, 9.24%, 3.42%, 0.00%, 7.72%,0.00%, 35.85%, 25.93%, 11.99%, 5.16%, 7.91%, 5.45%, 0.00%, 17.82%,0.00%, 26.87%, 30.51%, 5.91%, 7.05%, 3.79%, 8.04%,0.00%,2.3,176.2,253.4,144.4,844.7,0.0,1478.3,3.875,34
0,10,False,8, P-SLICE,10,32.0,961352,0,1.57,31.998,40.243,39.304,33.942,53, 7 5 3 2 , -, 0.00%,  0.00%,  0.00%, 1.49%,  2.34%,  1.77%, 2.93%,  4.71%, 14.00%, 7.48%,  6.51%, 43.61%, 0.00%,  0.05%,  0.05%,  1.16%,  0.11%,  3.56%,  0.35%,  8.31%,  1.27%,  0.00%,  0.00%,  0.03%,  0.15%,  0.00%,  0.00%,  0.04%,  0.07%,171170.78,14982.32,10085.9,1399317.22,16,235,116.82,56,147,126.34,93,199,124.87, 0.00%, 0.00%,0.00%, 37.50%, 12.50%, 12.50%, 0.00%, 37.50%, 0.00%, 81.48%, 0.00%,0.00%, 4.87%, 12.09%, 0.97%, 0.19%, 0.39%, 0.00%, 80.61%, 0.25%,0.00%, 8.37%, 9.47%, 0.72%, 0.17%, 0.35%, 0.05%, 80.64%, 0.30%,0.00%, 9.01%, 8.26%, 0.27%, 0.53%, 0.37%, 0.60%,0.00%,0.0,176.0,338.0,129.6,1582.3,0.0,1384.2,5.922,36
0,11,False,13, b-SLICE,11,34.0,670976,0,1.22,31.858,39.132,38.619,33.612,57, 10 9 ,12 14 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.24%,  0.92%, 25.07%,  2.55%, 32.80%,  3.19%, 29.89%,  3.23%,  0.00%,  0.00%,  0.14%,  0.35%,  0.00%,  0.00%,  0.07%,  0.53%,187257.88,18302.47,8534.43,3757116.12,19,233,114.21,59,148,127.24,93,199,125.02, 0.00%, 0.00%,0.00%, 29.51%, 27.87%, 18.03%, 1.64%, 20.49%, 2.46%, 0.00%, 0.00%,0.00%, 31.07%, 59.69%, 5.58%, 0.58%, 2.70%, 0.39%, 0.00%, 0.54%,0.00%, 32.52%, 58.85%, 3.73%, 0.94%, 2.70%, 0.72%, 0.00%, 1.98%,0.00%, 38.89%, 51.90%, 0.99%, 2.58%, 0.44%, 3.21%,0.00%,0.0,272.2,306.1,158.4,1275.5,0.0,1958.1,5.075,39
0,12,False,12, B-SLICE,12,33.0,1089760,0,1.02,31.217,39.509,38.847,33.207,55, 10 9 5 ,14 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.73%,  0.44%, 23.11%,  3.35%, 33.21%,  1.96%, 32.99%,  3.82%,  0.00%,  0.00%,  0.00%,  0.25%,  0.00%,  0.00%,  0.00%,  0.16%,207814.8,17345.07,9238.03,5013316.86,16,235,113.88,59,147,127.01,92,198,125.16, 0.00%, 0.00%,0.00%, 21.62%, 40.54%, 16.22%, 2.70%, 18.92%, 0.00%, 0.00%, 0.00%,0.00%, 27.68%, 59.67%, 6.03%, 0.66%, 5.79%, 0.18%, 0.00%, 0.00%,0.00%, 30.18%, 64.68%, 2.45%, 0.29%, 2.03%, 0.37%, 0.00%, 0.88%,0.00%, 34.46%, 56.49%, 1.49%, 2.64%, 0.98%, 3.07%,0.00%,0.0,148.9,330.1,154.6,1372.4,0.0,1823.0,5.026,20
