GOP_Index,Global_Frame_ID,Is_Test,Encode_Order,Type,POC,QP,Bits,Scenecut,I/P_cost_ratio,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,Latency,List_0,List_1,Intra_64x64_DC,Intra_64x64_Planar,Intra_64x64_Ang,Intra_32x32_DC,Intra_32x32_Planar,Intra_32x32_Ang,Intra_16x16_DC,Intra_16x16_Planar,Intra_16x16_Ang,Intra_8x8_DC,Intra_8x8_Planar,Intra_8x8_Ang,4x4,Inter_64x64,Inter_64x64_(Rect),Inter_32x32,Inter_32x32_(Rect),Inter_16x16,Inter_16x16_(Rect),Inter_8x8,Inter_8x8_(Rect),Skip_64x64,Skip_32x32,Skip_16x16,Skip_8x8,Merge_64x64,Merge_32x32,Merge_16x16,Merge_8x8,Avg_Luma_Distortion,Avg_Chroma_Distortion,Avg_psyEnergy,Avg_Residual_Energy,Min_Luma_Level,Max_Luma_Level,Avg_Luma_Level,Min_Cb_Level,Max_Cb_Level,Avg_Cb_Level,Min_Cr_Level,Max_Cr_Level,Avg_Cr_Level,Intra_64x64,Skip_64x64.1,AMP_64,Inter_64x64.1,Merge_64x64.1,Inter_64x32,Merge_64x32,Inter_32x64,Merge_32x64,Intra_32x32,Skip_32x32.1,AMP_32,Inter_32x32.1,Merge_32x32.1,Inter_32x16,Merge_32x16,Inter_16x32,Merge_16x32,Intra_16x16,Skip_16x16.1,AMP_16,Inter_16x16.1,Merge_16x16.1,Inter_16x8,Merge_16x8,Inter_8x16,Merge_8x16,Intra_8x8,Skip_8x8.1,AMP_8,Inter_8x8.1,Merge_8x8.1,Inter_8x4,Merge_8x4,Inter_4x8,Merge_4x8,4x4.1,DecideWait_(ms),Row0Wait_(ms),Wall_time_(ms),Ref_Wait_Wall_(ms),Total_CTU_time_(ms),Stall_Time_(ms),Total_frame_time_(ms),Avg_WPP,Row_Blocks
0,0,True,0, I-SLICE,0,34.0,198496,0,0.0,35.018,43.954,43.044,37.138,55,  -, -, 0.00%,  0.00%,  0.00%, 2.37%,  0.80%,  5.77%, 4.20%,  1.23%, 13.17%, 9.23%,  2.46%, 36.64%,24.14%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,84570.74,6432.82,11635.58,322799.57,22,235,167.07,94,147,129.75,110,192,127.94, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.72%, 0.00%,0.00%, 6.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.23%, 0.00%,0.00%, 7.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%,361.1,0.5,211.3,0.0,789.1,0.0,478.2,5.757,105
0,1,False,1, P-SLICE,1,37.0,96488,0,1.04,34.622,43.428,42.562,36.715,55, 0 , -, 0.00%,  0.00%,  0.00%, 0.41%,  0.25%,  2.26%, 1.09%,  1.14%,  5.72%, 2.51%,  3.10%, 15.58%, 0.00%,  0.52%,  0.16%,  6.68%,  2.78%, 13.10%,  5.08%, 14.56%,  6.38%,  0.00%,  0.66%,  1.50%,  5.40%,  0.43%,  2.14%,  2.32%,  6.22%,97081.85,6889.26,9569.21,580798.98,23,235,163.77,95,148,130.5,109,190,127.06, 0.00%, 38.78%,0.00%, 24.49%, 22.45%, 7.14%, 1.02%, 4.08%, 2.04%, 19.22%, 18.47%,0.00%, 15.32%, 28.68%, 9.68%, 3.08%, 4.05%, 1.50%, 24.80%, 11.94%,0.00%, 29.00%, 18.41%, 7.60%, 3.55%, 3.02%, 1.67%, 34.96%, 19.17%,0.00%, 22.44%, 12.89%, 2.05%, 3.55%, 1.03%, 3.89%,0.00%,478.5,20.2,111.4,70.1,434.6,0.0,506.4,5.128,139
0,2,False,4, b-SLICE,2,39.0,70384,0,1.75,33.848,42.834,42.218,36.018,57, 1 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.99%,  0.57%,  6.91%,  6.03%, 13.45%,  8.98%, 21.61%,  8.35%,  0.00%,  0.79%,  1.95%,  6.57%,  0.59%,  4.93%,  5.89%, 12.38%,115812.38,7620.76,8606.77,446429.6,22,235,163.59,89,147,131.22,109,190,126.37, 0.00%, 27.63%,0.00%, 14.47%, 31.58%, 11.18%, 3.29%, 9.21%, 2.63%, 0.00%, 30.65%,0.00%, 13.66%, 23.37%, 12.37%, 9.18%, 5.69%, 5.08%, 0.00%, 23.86%,0.00%, 33.94%, 14.90%, 7.97%, 7.62%, 5.43%, 6.29%, 0.00%, 32.99%,0.00%, 31.21%, 21.25%, 2.88%, 5.25%, 1.41%, 5.00%,0.00%,507.8,277.7,105.9,43.6,452.9,0.0,782.7,5.18,190
0,3,False,3, B-SLICE,3,38.0,184424,0,1.48,32.405,41.432,41.094,34.62,55, 1 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.31%,  0.23%,  3.95%,  2.31%, 10.66%,  8.99%, 35.12%, 18.34%,  0.00%,  0.29%,  1.07%,  5.86%,  0.08%,  1.53%,  1.88%,  9.38%,169467.53,10205.79,9830.34,1022151.01,21,235,160.27,98,149,132.43,109,190,125.46, 0.00%, 12.50%,0.00%, 15.00%, 35.00%, 15.00%, 5.00%, 8.75%, 8.75%, 0.00%, 22.54%,0.00%, 14.02%, 34.85%, 10.89%, 7.67%, 7.29%, 2.75%, 0.00%, 12.29%,0.00%, 28.41%, 21.85%, 17.77%, 7.90%, 7.87%, 3.92%, 0.00%, 20.78%,0.00%, 28.05%, 26.15%, 6.19%, 8.42%, 3.42%, 6.99%,0.00%,501.0,199.8,134.3,83.1,550.4,0.0,721.2,5.139,93
0,4,False,5, b-SLICE,4,39.0,169656,0,1.18,30.813,40.527,40.833,33.28,56, 3 1 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.12%,  0.20%,  2.45%,  2.45%, 12.79%, 10.87%, 31.16%, 15.11%,  0.00%,  0.52%,  1.16%,  8.92%,  0.12%,  1.42%,  1.87%, 10.86%,240277.69,11303.99,11371.54,961889.87,19,235,163.7,93,157,134.16,100,190,123.19, 0.00%, 26.67%,0.00%, 20.00%, 6.67%, 15.00%, 8.33%, 18.33%, 5.00%, 0.00%, 28.39%,0.00%, 16.31%, 19.49%, 15.89%, 6.36%, 9.43%, 4.13%, 0.00%, 10.80%,0.00%, 32.85%, 17.56%, 17.38%, 9.32%, 7.90%, 4.18%, 0.00%, 28.08%,0.00%, 26.71%, 23.75%, 3.85%, 8.46%, 2.28%, 6.87%,0.00%,4.1,208.4,136.4,43.6,630.3,0.0,803.5,6.017,101
0,5,False,2, P-SLICE,5,37.0,380864,0,1.77,31.583,40.873,41.007,33.922,52, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.43%,  0.77%,  2.23%, 1.35%,  1.37%,  8.11%, 6.27%,  7.00%, 35.27%, 0.00%,  0.05%,  0.03%,  0.95%,  0.29%,  3.55%,  1.68%, 17.50%,  6.82%,  0.00%,  0.11%,  0.38%,  4.00%,  0.00%,  0.06%,  0.16%,  1.64%,210915.36,13216.48,11834.98,2354044.02,21,235,161.47,92,156,134.94,103,189,122.21, 0.00%, 0.00%,0.00%, 25.00%, 37.50%, 18.75%, 18.75%, 0.00%, 0.00%, 71.08%, 3.53%,0.00%, 6.62%, 13.02%, 3.64%, 0.77%, 1.32%, 0.22%, 61.56%, 3.09%,0.00%, 16.04%, 9.75%, 4.30%, 1.15%, 3.39%, 0.73%, 59.42%, 6.89%,0.00%, 13.89%, 11.45%, 1.20%, 3.01%, 0.87%, 3.26%,0.00%,493.6,88.4,214.3,25.9,949.1,0.0,673.4,5.557,71
0,6,False,8, b-SLICE,6,39.0,152720,0,2.82,30.865,40.616,40.838,33.331,57, 5 3 ,7 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.09%,  0.09%,  3.34%,  3.35%, 13.74%,  8.84%, 29.17%, 15.43%,  0.00%,  0.32%,  1.58%,  9.51%,  0.05%,  1.91%,  2.36%, 10.22%,234952.32,11224.79,10972.15,615642.34,20,235,163.65,92,153,134.21,100,190,123.07, 0.00%, 20.00%,0.00%, 26.67%, 13.33%, 23.33%, 3.33%, 13.33%, 0.00%, 0.00%, 25.04%,0.00%, 20.75%, 16.64%, 15.95%, 7.20%, 8.15%, 6.26%, 0.00%, 14.10%,0.00%, 36.26%, 17.99%, 10.81%, 8.50%, 7.27%, 5.07%, 0.00%, 28.64%,0.00%, 26.00%, 23.04%, 3.68%, 9.11%, 2.39%, 7.22%,0.00%,3.2,123.6,135.4,69.7,580.3,0.0,970.1,5.165,84
0,7,False,7, B-SLICE,7,38.0,215760,0,2.06,31.645,40.962,40.726,33.945,55, 5 3 1 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  0.05%,  3.93%,  1.66%, 11.26%,  8.55%, 35.85%, 18.27%,  0.00%,  0.35%,  1.08%,  6.18%,  0.04%,  1.22%,  1.81%,  9.67%,201330.59,10938.23,10982.57,1043825.6,21,235,164.03,95,158,132.97,103,191,124.85, 0.00%, 23.08%,0.00%, 0.00%, 46.15%, 7.69%, 0.00%, 19.23%, 3.85%, 0.00%, 21.87%,0.00%, 14.95%, 40.00%, 5.61%, 3.36%, 10.56%, 3.64%, 0.00%, 12.07%,0.00%, 29.46%, 22.75%, 12.16%, 4.39%, 14.00%, 5.17%, 0.00%, 21.43%,0.00%, 27.86%, 26.09%, 4.28%, 7.34%, 4.67%, 8.43%,0.00%,2.4,65.9,174.3,69.6,695.8,0.0,906.9,5.446,89
0,8,False,6, P-SLICE,8,37.0,125016,0,1.14,33.127,43.273,42.261,35.537,53, 5 3 1 0 , -, 0.00%,  0.00%,  0.00%, 0.21%,  0.02%,  1.81%, 0.90%,  0.45%,  3.22%, 1.69%,  1.34%,  8.61%, 0.00%,  0.24%,  0.08%,  5.82%,  1.64%, 11.19%,  5.80%, 22.32%,  7.82%,  0.00%,  0.62%,  2.79%,  7.10%,  0.08%,  2.28%,  6.46%,  7.53%,134506.34,7304.5,13242.15,348813.59,21,235,165.26,87,148,130.35,107,193,127.28, 0.00%, 19.05%,0.00%, 42.86%, 19.05%, 14.29%, 0.00%, 2.38%, 2.38%, 16.41%, 23.40%,0.00%, 15.35%, 31.61%, 2.96%, 1.44%, 6.69%, 2.13%, 14.06%, 28.41%,0.00%, 24.65%, 15.05%, 4.46%, 2.43%, 7.12%, 3.82%, 18.75%, 23.57%,0.00%, 26.91%, 18.17%, 1.53%, 3.53%, 2.06%, 5.46%,0.00%,4.4,171.0,152.5,43.6,686.4,0.0,801.6,5.67,169
0,9,True,11, b-SLICE,9,39.0,55816,0,1.43,33.275,42.977,42.276,35.613,57, 8 7 ,10 11 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.71%,  1.04%, 12.28%,  6.06%, 18.71%,  5.84%, 17.45%,  6.06%,  0.00%,  1.34%,  1.97%,  3.05%,  1.00%,  4.39%,  6.40%, 12.69%,129545.67,7236.9,10972.3,352754.18,19,235,165.95,93,146,130.32,109,193,127.29, 0.00%, 26.73%,0.00%, 18.81%, 26.73%, 14.85%, 2.97%, 7.92%, 1.98%, 0.00%, 23.80%,0.00%, 15.77%, 35.24%, 10.12%, 7.50%, 4.95%, 2.63%, 0.00%, 23.03%,0.00%, 31.73%, 29.17%, 3.74%, 4.66%, 3.84%, 3.84%, 0.00%, 31.19%,0.00%, 32.08%, 24.71%, 1.59%, 4.02%, 1.29%, 5.13%,0.00%,0.0,213.0,110.3,54.4,456.0,0.0,1120.4,5.072,109
