Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     420288, 0,0.00,32.021, 40.189, 39.319, 33.954,55,  -, -, 0.00%,  0.00%,  0.00%, 1.67%,  2.28%,  3.79%, 2.65%,  2.11%, 12.73%, 5.79%,  2.65%, 35.36%,30.98%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 167472.12, 14776.16, 15433.37, 691114.35 , 20, 235, 129.53, 56, 147, 127.94, 94, 173, 123.45, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.81%, 0.00%,0.00%, 6.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.00%, 0.00%,0.00%, 7.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,99.95%, 414.0, 0.2, 269.3, 0.1, 1172.6, 0.0, 591.7, 5.171, 104
1, P-SLICE,    2, 37.00,     269352, 0,1.76,31.356, 39.414, 38.818, 33.296,54, 0 , -, 0.00%,  0.00%,  0.00%, 1.64%,  1.44%,  4.10%, 3.51%,  2.66%, 16.69%, 5.92%,  4.39%, 27.55%, 0.00%,  0.63%,  0.47%,  6.64%,  0.23%,  9.53%,  0.54%,  9.12%,  1.08%,  0.00%,  0.00%,  0.29%,  1.76%,  0.00%,  0.05%,  0.52%,  1.24%, 207437.46, 17128.72, 13312.31, 2628114.88 , 20, 235, 127.58, 58, 146, 127.11, 95, 172, 124.36, 0.00%, 0.00%,0.00%, 6.12%, 51.02%, 20.41%, 0.00%, 21.43%, 1.02%, 50.96%, 0.32%,0.00%, 10.70%, 36.42%, 0.48%, 0.00%, 1.04%, 0.08%, 63.84%, 2.26%,0.00%, 15.22%, 17.17%, 0.38%, 0.31%, 0.50%, 0.31%, 65.46%, 5.18%,0.00%, 16.98%, 10.51%, 0.27%, 0.35%, 0.39%, 0.86%,0.00%, 501.8, 40.1, 248.4, 130.1, 890.0, 0.0, 687.5, 4.562, 45
2, b-SLICE,    1, 39.00,      88448, 0,1.35,29.531, 38.822, 38.141, 31.768,56, 0 ,2 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.03%,  0.91%,  9.11%,  5.92%, 15.91%,  7.44%, 21.46%,  7.65%,  0.00%,  0.70%,  2.76%,  5.34%,  0.79%,  2.82%,  7.10%, 11.05%, 300215.72, 18599.94, 20601.58, 513744.50 , 19, 235, 124.10, 56, 146, 127.37, 93, 173, 124.20, 0.00%, 28.89%,0.00%, 25.56%, 12.22%, 19.44%, 6.11%, 5.56%, 2.22%, 0.00%, 18.99%,0.00%, 24.55%, 24.55%, 11.46%, 7.36%, 6.71%, 6.38%, 0.00%, 27.40%,0.00%, 27.82%, 24.11%, 5.90%, 7.67%, 2.61%, 4.47%, 0.00%, 30.00%,0.00%, 27.06%, 28.94%, 2.11%, 5.28%, 0.83%, 5.78%,0.00%, 508.8, 167.8, 148.6, 105.1, 348.2, 3.5, 727.5, 3.139, 45
3, P-SLICE,    3, 37.00,     262208, 0,1.53,32.042, 39.823, 39.462, 33.942,55, 2 0 , -, 0.00%,  0.00%,  0.00%, 2.45%,  1.99%,  5.25%, 2.72%,  2.18%, 16.49%, 3.83%,  4.10%, 24.82%, 0.00%,  0.81%,  0.38%,  9.70%,  0.67%, 10.56%,  0.54%,  8.43%,  0.84%,  0.00%,  0.00%,  0.51%,  1.97%,  0.00%,  0.03%,  0.57%,  1.16%, 177514.26, 15037.27, 10273.92, 2775992.22 , 19, 233, 128.28, 57, 146, 127.42, 96, 173, 124.52, 0.00%, 0.00%,0.00%, 20.45%, 47.73%, 15.91%, 2.27%, 13.64%, 0.00%, 48.26%, 0.13%,0.00%, 9.25%, 39.01%, 1.21%, 0.40%, 1.21%, 0.54%, 59.34%, 2.99%,0.00%, 15.62%, 20.55%, 0.45%, 0.30%, 0.22%, 0.52%, 61.49%, 5.87%,0.00%, 18.93%, 12.15%, 0.23%, 0.43%, 0.10%, 0.81%,0.00%, 515.7, 160.9, 231.6, 105.1, 979.9, 0.0, 800.5, 4.826, 52
4, P-SLICE,    7, 37.00,     320808, 0,1.21,29.990, 38.806, 37.863, 32.076,52, 3 2 0 , -, 0.00%,  0.00%,  0.00%, 1.20%,  1.08%,  3.59%, 3.06%,  1.96%, 15.79%, 5.15%,  3.42%, 30.75%, 0.00%,  0.49%,  0.20%,  6.28%,  0.65%, 11.02%,  0.59%, 10.19%,  1.51%,  0.00%,  0.02%,  0.29%,  1.18%,  0.00%,  0.02%,  0.65%,  0.92%, 276688.24, 20473.06, 18415.29, 1555636.50 , 16, 235, 123.31, 52, 147, 127.41, 92, 189, 123.92, 0.00%, 0.00%,0.00%, 23.53%, 47.06%, 11.76%, 0.00%, 16.18%, 1.47%, 45.71%, 0.32%,0.00%, 11.75%, 37.14%, 2.22%, 0.48%, 1.19%, 1.19%, 59.05%, 2.66%,0.00%, 13.42%, 23.19%, 0.09%, 0.43%, 0.43%, 0.72%, 66.37%, 3.54%,0.00%, 14.20%, 13.34%, 0.10%, 0.72%, 0.12%, 1.60%,0.00%, 522.2, 266.5, 250.4, 114.9, 985.6, 0.0, 913.8, 4.487, 58
5, B-SLICE,    5, 38.00,     457016, 0,1.49,27.159, 37.284, 36.603, 29.605,55, 3 2 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.93%,  1.04%, 29.20%,  1.73%, 30.88%,  2.13%, 23.94%,  6.51%,  0.00%,  0.12%,  0.44%,  0.40%,  0.00%,  0.32%,  0.60%,  0.76%, 520336.77, 27079.20, 27153.01, 4794098.71 , 16, 235, 118.50, 59, 148, 126.40, 91, 197, 125.07, 0.00%, 0.00%,0.00%, 12.16%, 52.70%, 18.24%, 0.68%, 14.19%, 2.03%, 0.00%, 1.41%,0.00%, 20.23%, 72.86%, 1.41%, 0.64%, 2.62%, 0.83%, 0.00%, 2.77%,0.00%, 27.66%, 63.94%, 1.49%, 0.64%, 1.70%, 1.81%, 0.00%, 2.67%,0.00%, 34.28%, 48.16%, 1.33%, 5.19%, 0.69%, 7.67%,0.00%, 2.4, 206.6, 271.0, 140.9, 968.4, 0.0, 1047.1, 4.635, 58
6, b-SLICE,    4, 39.00,     383216, 1,1.03,26.920, 37.072, 36.671, 29.408,57, 3 2 ,5 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.35%,  0.82%, 18.43%,  3.62%, 24.97%,  4.72%, 26.54%,  8.84%,  0.00%,  0.06%,  0.94%,  1.76%,  0.00%,  0.35%,  2.64%,  4.97%, 562541.86, 28351.50, 22746.99, 2925660.61 , 16, 235, 117.17, 59, 147, 126.69, 90, 198, 125.20, 0.00%, 0.00%,0.00%, 18.84%, 43.48%, 21.74%, 1.45%, 12.32%, 2.17%, 0.00%, 1.82%,0.00%, 26.75%, 55.32%, 5.53%, 2.17%, 4.83%, 3.57%, 0.00%, 9.91%,0.00%, 27.13%, 49.91%, 2.83%, 2.74%, 3.22%, 4.26%, 0.00%, 13.05%,0.00%, 28.90%, 40.91%, 1.19%, 5.27%, 1.65%, 9.02%,0.00%, 2.8, 244.2, 236.7, 114.8, 922.5, 0.0, 1162.1, 4.916, 98
7, b-SLICE,    6, 39.00,     123592, 0,1.66,28.035, 37.242, 36.557, 30.251,56, 5 3 2 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.48%,  0.46%,  6.48%,  7.05%, 14.88%, 10.26%, 20.66%, 11.83%,  0.00%,  0.20%,  2.25%,  7.17%,  0.09%,  1.23%,  5.30%, 11.65%, 431718.42, 27160.08, 21059.00, 674461.51 , 16, 235, 118.27, 54, 148, 126.45, 91, 197, 124.77, 0.00%, 8.89%,0.00%, 22.22%, 24.44%, 30.00%, 5.56%, 7.78%, 1.11%, 0.00%, 9.57%,0.00%, 21.43%, 21.88%, 19.00%, 10.94%, 10.64%, 6.53%, 0.00%, 21.71%,0.00%, 27.40%, 21.39%, 7.59%, 8.44%, 5.95%, 7.52%, 0.00%, 32.36%,0.00%, 23.40%, 23.90%, 2.13%, 8.47%, 1.45%, 8.29%,0.00%, 2.3, 209.9, 244.6, 114.9, 581.8, 0.0, 1161.2, 4.000, 60
8, P-SLICE,   10, 37.00,     428120, 0,1.57,28.625, 38.124, 37.271, 30.893,53, 7 5 3 2 , -, 0.00%,  0.00%,  0.00%, 1.41%,  1.62%,  3.27%, 2.72%,  2.70%, 16.38%, 5.33%,  3.71%, 31.37%, 0.00%,  0.20%,  0.18%,  4.54%,  0.44%, 10.41%,  0.44%, 10.96%,  1.98%,  0.00%,  0.00%,  0.07%,  1.01%,  0.00%,  0.00%,  0.53%,  0.72%, 373756.72, 24059.27, 21686.45, 1962611.26 , 16, 235, 116.82, 56, 147, 126.34, 93, 199, 124.87, 0.00%, 0.00%,0.00%, 4.76%, 47.62%, 38.10%, 0.00%, 7.14%, 2.38%, 55.86%, 0.00%,0.00%, 9.93%, 30.29%, 1.95%, 0.33%, 1.30%, 0.33%, 62.38%, 1.73%,0.00%, 12.56%, 22.07%, 0.21%, 0.32%, 0.32%, 0.42%, 66.67%, 2.85%,0.00%, 14.73%, 12.48%, 0.23%, 1.05%, 0.23%, 1.77%,0.00%, 0.0, 129.2, 295.0, 114.9, 1317.6, 0.0, 1194.1, 5.322, 112
9, B-SLICE,    9, 38.00,     127296, 0,1.39,30.379, 38.132, 37.223, 32.204,55, 7 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.25%,  0.23%,  5.29%,  5.31%, 16.53%, 10.63%, 24.40%, 11.12%,  0.00%,  0.40%,  2.47%,  7.18%,  0.00%,  0.49%,  4.49%, 11.22%, 264698.55, 22276.37, 11967.62, 494149.32 , 20, 235, 116.03, 52, 147, 126.74, 91, 200, 124.71, 0.00%, 0.00%,0.00%, 12.00%, 40.00%, 26.00%, 2.00%, 18.00%, 2.00%, 0.00%, 7.73%,0.00%, 24.01%, 22.04%, 21.30%, 7.65%, 10.53%, 6.74%, 0.00%, 19.43%,0.00%, 30.28%, 20.64%, 10.08%, 7.03%, 6.29%, 6.24%, 0.00%, 30.86%,0.00%, 25.03%, 25.44%, 3.47%, 6.67%, 1.66%, 6.86%,0.00%, 2.3, 181.3, 174.4, 100.1, 657.4, 0.0, 1263.1, 4.539, 40
