Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     701464, 0,0.00,38.273, 40.743, 40.618, 38.875,55,  -, -, 0.00%,  0.00%,  0.00%,10.27%, 10.77%,  6.63%, 4.29%,  2.05%, 10.77%, 7.57%,  2.53%, 23.98%,21.16%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 40062.02, 11831.51, 4340.64, 1118040.60 , 26, 235, 143.34, 69, 144, 116.09, 90, 194, 127.27, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.29%, 0.00%,0.00%, 2.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.31%, 0.00%,0.00%, 11.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.26%, 0.00%,0.00%, 11.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 668.7, 0.2, 308.0, 0.1, 1566.2, 0.0, 879.6, 6.003, 93
1, P-SLICE,    4, 32.00,     360480, 0,1.34,38.436, 40.505, 40.404, 38.941,52, 0 , -, 0.00%,  0.00%,  0.00%,13.54%, 11.17%, 13.88%, 5.44%,  2.64%, 17.85%, 5.10%,  1.93%, 20.85%, 0.00%,  0.00%,  0.00%,  1.00%,  0.13%,  2.43%,  0.97%,  2.94%,  0.13%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 40333.74, 12745.82, 4516.45, 900485.50 , 26, 235, 145.73, 65, 143, 115.77, 91, 194, 126.56, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.60%, 0.00%,0.00%, 2.78%, 2.29%, 0.33%, 0.00%, 0.00%, 0.00%, 79.86%, 0.00%,0.00%, 14.80%, 2.36%, 1.59%, 0.05%, 1.34%, 0.00%, 74.91%, 0.00%,0.00%, 21.59%, 3.14%, 0.18%, 0.09%, 0.00%, 0.09%,0.00%, 718.8, 73.7, 292.3, 169.7, 1287.1, 0.0, 962.6, 5.602, 43
2, B-SLICE,    2, 33.00,     236152, 0,1.41,37.101, 39.869, 39.812, 37.786,55, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.68%,  0.45%,  8.57%,  6.95%, 33.18%, 13.27%, 22.66%,  3.41%,  0.00%,  0.07%,  0.96%,  4.42%,  0.00%,  0.09%,  1.10%,  4.18%, 56288.70, 13482.49, 4095.79, 1119690.83 , 25, 235, 144.25, 70, 143, 116.02, 89, 195, 126.61, 0.00%, 0.00%,0.00%, 18.75%, 41.67%, 31.25%, 2.08%, 6.25%, 0.00%, 0.00%, 1.00%,0.00%, 21.14%, 35.57%, 28.93%, 3.07%, 9.00%, 1.29%, 0.00%, 4.08%,0.00%, 40.87%, 28.92%, 13.88%, 5.77%, 4.26%, 2.27%, 0.00%, 22.00%,0.00%, 31.49%, 37.80%, 1.83%, 1.89%, 1.53%, 3.46%,0.00%, 726.1, 226.2, 210.1, 123.1, 850.0, 0.0, 1051.0, 5.240, 74
3, b-SLICE,    1, 34.00,     124408, 0,1.13,36.305, 39.827, 39.740, 37.174,57, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.19%,  0.48%,  8.00%, 10.37%, 31.12%, 11.68%, 16.25%,  6.60%,  0.00%,  0.05%,  2.10%,  4.76%,  0.00%,  0.24%,  3.63%,  4.50%, 64280.22, 13604.93, 4878.38, 247140.71 , 25, 235, 142.89, 71, 144, 116.30, 91, 194, 126.62, 0.00%, 0.00%,0.00%, 7.14%, 21.43%, 17.86%, 3.57%, 44.64%, 5.36%, 0.00%, 1.49%,0.00%, 24.25%, 20.90%, 27.61%, 5.22%, 16.67%, 3.86%, 0.00%, 11.28%,0.00%, 38.17%, 27.56%, 7.04%, 5.00%, 6.19%, 4.76%, 0.00%, 25.26%,0.00%, 28.30%, 28.43%, 4.22%, 3.89%, 3.83%, 6.07%,0.00%, 733.5, 339.1, 143.9, 81.4, 605.3, 0.0, 1110.3, 5.284, 88
4, b-SLICE,    3, 34.00,     355720, 0,1.02,34.959, 38.026, 38.216, 35.749,56, 2 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.53%,  4.84%, 15.31%, 11.86%, 32.91%,  4.80%, 21.26%,  4.06%,  0.00%,  0.04%,  0.90%,  1.72%,  0.00%,  0.04%,  0.37%,  1.35%, 88216.10, 19837.27, 6711.44, 766938.96 , 34, 235, 145.07, 64, 152, 115.62, 90, 194, 125.27, 0.00%, 0.00%,0.00%, 3.05%, 6.87%, 48.85%, 0.00%, 41.22%, 0.00%, 0.00%, 0.29%,0.00%, 18.68%, 39.51%, 26.87%, 0.57%, 13.43%, 0.65%, 0.00%, 2.97%,0.00%, 46.65%, 39.18%, 5.41%, 0.72%, 3.88%, 1.20%, 0.00%, 8.52%,0.00%, 37.16%, 43.07%, 2.61%, 3.18%, 1.19%, 4.26%,0.00%, 740.9, 331.7, 236.6, 81.4, 1084.4, 0.0, 1192.0, 5.646, 128
5, P-SLICE,    7, 32.00,     335488, 0,1.44,39.075, 40.793, 40.629, 39.484,53, 4 2 0 , -, 0.00%,  0.00%,  0.00%, 9.07%,  9.58%, 15.24%, 4.22%,  2.43%, 15.08%, 3.80%,  2.40%, 14.38%, 0.00%,  0.10%,  0.03%,  2.52%,  0.45%,  5.72%,  1.73%,  7.89%,  1.79%,  0.00%,  0.03%,  0.48%,  2.11%,  0.00%,  0.00%,  0.10%,  0.86%, 35323.43, 11943.88, 3624.16, 880410.97 , 20, 235, 149.90, 69, 146, 116.82, 92, 193, 129.21, 0.00%, 0.00%,0.00%, 0.00%, 75.00%, 25.00%, 0.00%, 0.00%, 0.00%, 89.39%, 0.08%,0.00%, 4.30%, 5.05%, 0.55%, 0.04%, 0.55%, 0.04%, 66.34%, 1.76%,0.00%, 19.02%, 7.61%, 1.95%, 0.98%, 1.85%, 0.49%, 52.44%, 7.57%,0.00%, 25.49%, 9.93%, 1.22%, 0.33%, 1.22%, 1.79%,0.00%, 3.2, 92.4, 298.0, 81.4, 1518.6, 0.0, 1233.6, 6.305, 170
6, B-SLICE,    6, 33.00,     297712, 0,1.40,36.554, 39.201, 39.059, 37.198,55, 4 2 0 ,7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.16%,  1.54%, 12.94%,  6.93%, 28.68%,  6.29%, 25.03%,  7.71%,  0.00%,  0.06%,  0.73%,  3.31%,  0.00%,  0.12%,  1.31%,  4.21%, 61846.11, 15806.92, 5251.49, 629360.12 , 21, 235, 147.94, 72, 146, 116.59, 91, 194, 128.66, 0.00%, 0.00%,0.00%, 19.35%, 23.66%, 28.49%, 3.76%, 21.51%, 3.23%, 0.00%, 0.83%,0.00%, 21.85%, 44.26%, 18.26%, 0.97%, 13.35%, 0.48%, 0.00%, 5.11%,0.00%, 36.57%, 42.48%, 5.18%, 2.70%, 5.22%, 2.74%, 0.00%, 16.44%,0.00%, 27.17%, 39.56%, 4.25%, 6.22%, 1.40%, 5.02%,0.00%, 3.2, 164.1, 250.4, 109.4, 1030.3, 0.0, 1370.6, 5.034, 69
7, b-SLICE,    5, 34.00,     185920, 0,1.06,37.351, 39.901, 39.867, 37.985,57, 4 2 ,6 7 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.44%,  0.15%,  5.51%,  3.57%, 34.71%, 13.75%, 26.58%,  3.62%,  0.00%,  0.15%,  1.65%,  6.16%,  0.00%,  0.18%,  1.14%,  2.39%, 55248.50, 13331.28, 3709.52, 388141.93 , 25, 235, 145.41, 72, 141, 116.79, 91, 194, 127.79, 0.00%, 0.00%,0.00%, 31.25%, 43.75%, 12.50%, 0.00%, 12.50%, 0.00%, 0.00%, 3.31%,0.00%, 41.54%, 19.49%, 20.40%, 2.39%, 11.03%, 1.84%, 0.00%, 5.27%,0.00%, 51.56%, 17.21%, 10.55%, 2.95%, 9.39%, 3.07%, 0.00%, 20.25%,0.00%, 39.20%, 31.97%, 1.28%, 2.94%, 1.02%, 3.33%,0.00%, 3.3, 190.4, 240.5, 137.7, 893.2, 0.0, 1469.3, 4.331, 38
8, P-SLICE,    8, 32.00,     492360, 0,1.15,36.663, 39.677, 39.744, 37.425,55, 7 6 4 2 , -, 0.00%,  0.00%,  0.00%, 6.56%,  7.07%, 12.43%, 4.76%,  2.02%, 18.03%, 3.73%,  1.69%, 18.03%, 0.00%,  0.09%,  0.48%,  4.76%,  0.93%,  5.69%,  0.84%,  7.04%,  2.38%,  0.00%,  0.00%,  0.15%,  2.05%,  0.00%,  0.00%,  0.18%,  1.08%, 59406.09, 14631.54, 4950.02, 1183701.61 , 24, 235, 152.61, 66, 145, 119.14, 90, 193, 127.66, 0.00%, 0.00%,0.00%, 0.00%, 15.79%, 68.42%, 0.00%, 15.79%, 0.00%, 79.67%, 0.00%,0.00%, 5.06%, 12.42%, 1.70%, 0.05%, 0.92%, 0.18%, 71.90%, 0.96%,0.00%, 14.92%, 9.77%, 0.79%, 0.35%, 0.83%, 0.48%, 56.29%, 7.51%,0.00%, 20.30%, 10.19%, 1.26%, 1.48%, 1.26%, 1.70%,0.00%, 4.4, 135.1, 326.5, 137.7, 1514.6, 0.0, 1540.6, 5.570, 72
9, P-SLICE,   13, 32.00,     555312, 0,1.56,36.089, 39.517, 39.636, 36.961,51, 8 7 6 2 , -, 0.00%,  0.00%,  0.00%, 5.45%,  7.05%, 10.28%, 3.80%,  2.46%, 18.95%, 5.62%,  3.03%, 28.32%, 0.00%,  0.02%,  0.07%,  2.76%,  0.17%,  2.79%,  0.79%,  6.11%,  0.84%,  0.00%,  0.00%,  0.15%,  0.67%,  0.00%,  0.00%,  0.20%,  0.47%, 67317.83, 15134.34, 5336.98, 1312386.60 , 21, 235, 152.99, 61, 147, 119.75, 90, 192, 127.57, 0.00%, 0.00%,0.00%, 25.00%, 0.00%, 50.00%, 0.00%, 25.00%, 0.00%, 85.95%, 0.00%,0.00%, 4.74%, 8.65%, 0.09%, 0.09%, 0.42%, 0.05%, 80.17%, 1.10%,0.00%, 10.42%, 5.80%, 0.71%, 0.00%, 1.57%, 0.24%, 74.40%, 2.28%,0.00%, 14.43%, 7.19%, 0.50%, 0.25%, 0.40%, 0.55%,0.00%, 0.0, 193.6, 353.2, 167.6, 1582.7, 0.0, 1689.2, 5.255, 24
