Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     257312, 0,0.00,37.245, 43.467, 45.034, 38.996,55,  -, -, 0.00%,  0.00%,  0.00%, 4.08%,  2.92%, 14.05%, 5.95%,  2.14%, 22.93%, 7.37%,  2.04%, 28.74%, 9.79%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 49747.07, 5207.10, 4860.15, 431501.20 , 16, 235, 135.94, 28, 194, 121.67, 59, 202, 132.47, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.49%, 0.00%,0.00%, 4.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.01%, 0.00%,0.00%, 8.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.63%, 0.00%,0.00%, 9.37%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 458.1, 0.3, 250.3, 0.0, 1042.1, 0.0, 612.9, 5.127, 163
1, P-SLICE,    3, 37.00,     160880, 0,1.27,35.866, 43.000, 44.364, 37.820,53, 0 , -, 0.00%,  0.00%,  0.00%, 2.81%,  3.29%, 17.77%, 4.32%,  2.19%, 18.43%, 4.59%,  2.33%, 14.72%, 0.00%,  0.26%,  0.09%,  4.78%,  0.77%,  7.64%,  1.97%,  7.92%,  1.49%,  0.00%,  0.02%,  0.39%,  2.44%,  0.00%,  0.22%,  0.57%,  0.97%, 71610.11, 5840.16, 4987.71, 467729.85 , 16, 235, 139.04, 30, 194, 122.40, 52, 211, 132.59, 0.00%, 0.00%,0.00%, 12.50%, 62.50%, 0.00%, 0.00%, 25.00%, 0.00%, 77.05%, 0.78%,0.00%, 7.51%, 12.18%, 1.24%, 0.25%, 0.89%, 0.11%, 63.03%, 2.44%,0.00%, 19.24%, 10.31%, 1.55%, 0.39%, 1.88%, 1.16%, 54.54%, 8.57%,0.00%, 21.68%, 11.45%, 0.50%, 1.00%, 0.91%, 1.36%,0.00%, 592.6, 7.0, 215.1, 104.1, 1126.4, 0.0, 691.9, 5.857, 149
2, B-SLICE,    2, 38.00,     148016, 0,1.50,34.470, 42.355, 44.038, 36.652,55, 0 ,3 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.22%,  0.86%, 22.07%,  5.18%, 20.39%,  6.04%, 18.81%,  4.84%,  0.00%,  0.21%,  1.96%,  2.68%,  0.62%,  1.82%,  2.61%,  6.69%, 98513.30, 6229.56, 5813.36, 680588.85 , 16, 235, 136.77, 28, 192, 121.76, 55, 210, 132.52, 0.00%, 9.23%,0.00%, 27.18%, 50.77%, 4.87%, 1.28%, 5.13%, 1.54%, 0.00%, 6.46%,0.00%, 27.05%, 49.95%, 6.19%, 1.92%, 6.08%, 2.35%, 0.00%, 12.22%,0.00%, 35.75%, 35.85%, 4.04%, 3.12%, 5.24%, 3.77%, 0.00%, 22.75%,0.00%, 31.17%, 34.33%, 2.04%, 3.04%, 1.50%, 5.17%,0.00%, 602.8, 112.2, 161.5, 95.8, 635.6, 0.0, 761.5, 4.639, 122
3, b-SLICE,    1, 39.00,      61720, 0,1.43,34.428, 42.610, 44.199, 36.672,57, 0 ,2 3 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.76%,  2.16%, 15.79%,  6.65%, 18.68%,  7.57%, 11.07%,  4.50%,  0.00%,  1.35%,  2.81%,  2.96%,  1.50%,  6.21%,  5.81%,  9.17%, 95163.91, 5836.64, 6310.36, 163638.19 , 16, 235, 135.34, 28, 194, 122.00, 59, 207, 132.36, 0.00%, 20.20%,0.00%, 27.59%, 23.15%, 6.16%, 3.69%, 16.01%, 3.20%, 0.00%, 23.50%,0.00%, 32.80%, 23.04%, 3.97%, 3.41%, 7.95%, 5.33%, 0.00%, 20.79%,0.00%, 41.06%, 20.18%, 6.04%, 3.83%, 4.01%, 4.36%, 0.00%, 33.33%,0.00%, 33.13%, 21.18%, 0.95%, 3.97%, 1.46%, 5.97%,0.00%, 612.3, 184.3, 144.5, 75.6, 558.6, 0.0, 833.9, 4.692, 133
4, P-SLICE,    5, 37.00,     188080, 0,1.19,35.445, 42.987, 43.939, 37.450,54, 3 2 0 , -, 0.00%,  0.00%,  0.00%, 2.69%,  2.79%, 16.55%, 3.48%,  2.25%, 17.27%, 4.18%,  2.72%, 18.90%, 0.00%,  0.46%,  0.26%,  8.52%,  0.60%,  7.15%,  0.53%,  4.99%,  0.51%,  0.00%,  0.14%,  0.74%,  1.67%,  0.00%,  0.14%,  0.53%,  2.92%, 77598.00, 6205.87, 5737.31, 616419.00 , 16, 235, 136.40, 29, 189, 122.92, 52, 193, 132.98, 0.00%, 0.00%,0.00%, 22.58%, 41.94%, 22.58%, 3.23%, 9.68%, 0.00%, 67.11%, 0.85%,0.00%, 10.82%, 19.38%, 0.64%, 0.28%, 0.74%, 0.18%, 63.44%, 3.52%,0.00%, 17.29%, 14.28%, 0.64%, 0.19%, 0.32%, 0.32%, 62.28%, 11.10%,0.00%, 16.26%, 9.14%, 0.06%, 0.28%, 0.00%, 0.90%,0.00%, 622.1, 174.5, 207.9, 75.6, 1191.9, 0.0, 870.5, 6.598, 164
5, b-SLICE,    4, 39.00,      99048, 0,1.25,34.174, 42.362, 43.530, 36.367,56, 3 2 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.06%,  1.85%, 20.66%,  6.02%, 20.51%,  4.74%, 16.17%,  3.13%,  0.00%,  0.50%,  2.60%,  2.67%,  0.39%,  1.89%,  4.67%,  9.15%, 103816.62, 6494.01, 6048.32, 443191.25 , 16, 235, 138.34, 29, 193, 122.48, 54, 208, 132.88, 0.00%, 5.37%,0.00%, 23.90%, 45.37%, 4.88%, 1.95%, 13.90%, 4.63%, 0.00%, 7.65%,0.00%, 27.05%, 46.00%, 6.05%, 2.17%, 7.08%, 4.00%, 0.00%, 18.58%,0.00%, 36.43%, 32.88%, 3.19%, 2.64%, 2.41%, 3.87%, 0.00%, 29.86%,0.00%, 29.77%, 32.46%, 0.45%, 2.34%, 0.58%, 4.54%,0.00%, 3.4, 200.7, 173.0, 85.1, 731.0, 0.0, 957.4, 6.031, 82
6, P-SLICE,   10, 37.00,      99184, 0,1.33,34.950, 42.814, 43.765, 37.035,51, 5 3 2 0 , -, 0.00%,  0.00%,  0.00%, 0.87%,  0.48%,  2.68%, 0.60%,  0.33%,  3.07%, 1.14%,  0.72%,  7.07%, 0.00%,  3.64%,  0.78%, 21.87%,  3.40%, 17.93%,  3.13%, 14.56%,  3.07%,  0.00%,  0.21%,  1.47%,  3.79%,  0.03%,  0.87%,  2.59%,  5.69%, 85032.13, 6283.19, 5714.88, 200329.25 , 16, 235, 132.58, 28, 193, 123.36, 52, 195, 132.81, 0.00%, 0.68%,0.00%, 21.62%, 60.14%, 5.07%, 3.72%, 5.74%, 3.04%, 12.52%, 3.36%,0.00%, 24.11%, 49.44%, 2.24%, 2.99%, 3.18%, 2.15%, 11.54%, 11.71%,0.00%, 34.69%, 33.04%, 2.17%, 2.25%, 1.91%, 2.69%, 20.68%, 21.94%,0.00%, 27.92%, 22.35%, 0.77%, 3.27%, 0.42%, 2.65%,0.00%, 3.5, 95.1, 209.5, 85.0, 873.3, 0.0, 960.6, 4.996, 224
7, B-SLICE,    8, 38.00,     144552, 0,1.73,34.696, 41.866, 42.880, 36.615,54, 5 3 2 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  3.31%,  1.82%, 21.43%,  6.28%, 24.64%,  5.29%, 16.93%,  1.98%,  0.00%,  0.63%,  1.95%,  2.22%,  0.56%,  1.62%,  3.97%,  7.37%, 94582.03, 7435.83, 5921.96, 907233.83 , 16, 235, 132.72, 30, 194, 123.03, 51, 194, 132.85, 0.00%, 9.88%,0.00%, 26.16%, 31.98%, 16.86%, 4.07%, 10.17%, 0.87%, 0.00%, 7.04%,0.00%, 26.09%, 47.20%, 8.95%, 2.85%, 5.80%, 2.07%, 0.00%, 14.11%,0.00%, 36.33%, 36.96%, 3.78%, 2.05%, 3.70%, 3.07%, 0.00%, 26.36%,0.00%, 33.09%, 35.09%, 1.00%, 2.64%, 0.18%, 1.64%,0.00%, 3.5, 136.2, 209.5, 103.6, 869.8, 0.0, 1074.8, 5.627, 110
8, b-SLICE,    6, 39.00,      59848, 0,1.35,34.405, 42.355, 43.358, 36.518,57, 5 2 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  4.22%,  1.90%, 16.84%,  9.09%, 20.12%,  6.26%, 11.00%,  3.42%,  0.00%,  1.11%,  2.80%,  1.56%,  0.31%,  3.15%,  5.36%, 12.86%, 97253.46, 6757.12, 5753.65, 188770.17 , 16, 235, 132.07, 30, 192, 122.84, 48, 191, 133.23, 0.00%, 4.84%,0.00%, 26.34%, 39.25%, 15.32%, 5.11%, 6.72%, 2.42%, 0.00%, 13.18%,0.00%, 29.26%, 29.37%, 9.97%, 7.93%, 6.65%, 3.64%, 0.00%, 19.93%,0.00%, 42.15%, 22.64%, 4.94%, 5.03%, 2.53%, 2.79%, 0.00%, 38.90%,0.00%, 31.53%, 20.34%, 0.75%, 3.36%, 0.56%, 4.57%,0.00%, 3.5, 185.1, 168.4, 90.9, 787.7, 0.0, 1158.5, 5.453, 97
9, b-SLICE,    7, 39.00,      39072, 0,1.35,34.522, 41.858, 42.847, 36.480,57, 5 2 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.14%,  2.72%, 14.46%,  7.41%, 12.80%,  4.05%,  8.89%,  2.12%,  0.00%,  1.38%,  2.85%,  1.34%,  2.30%,  7.64%,  8.43%, 16.48%, 93119.91, 7405.20, 5803.30, 140478.98 , 16, 235, 131.91, 30, 195, 123.24, 49, 193, 132.82, 0.00%, 18.94%,0.00%, 20.08%, 38.64%, 8.33%, 4.92%, 5.49%, 3.60%, 0.00%, 26.81%,0.00%, 29.96%, 21.20%, 6.36%, 5.54%, 5.68%, 4.45%, 0.00%, 30.78%,0.00%, 38.32%, 19.85%, 1.63%, 2.64%, 2.07%, 4.71%, 0.00%, 44.79%,0.00%, 33.22%, 16.67%, 0.75%, 1.68%, 0.41%, 2.49%,0.00%, 0.0, 125.1, 168.5, 90.9, 587.7, 0.0, 1156.1, 4.633, 164
