Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     785176, 0,0.00,36.243, 43.917, 45.217, 38.324,55,  -, -, 0.00%,  0.00%,  0.00%, 1.55%,  2.24%,  1.94%, 3.61%,  4.08%, 10.33%, 7.50%,  4.48%, 30.59%,33.68%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 63723.08, 4862.79, 5622.69, 586750.67 , 16, 233, 136.44, 20, 172, 133.23, 88, 181, 122.76, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.59%, 0.00%,0.00%, 5.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.66%, 0.00%,0.00%, 7.34%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 415.3, 0.1, 292.7, 0.0, 1346.8, 0.0, 610.6, 5.597, 56
1, P-SLICE,    1, 32.00,     509856, 0,1.26,34.245, 42.459, 44.042, 36.496,55, 0 , -, 0.00%,  0.00%,  0.00%, 2.96%,  6.17%,  4.31%, 3.97%,  3.97%, 14.83%, 5.53%,  3.84%, 26.15%, 0.00%,  0.00%,  0.04%,  3.19%,  0.64%,  8.23%,  0.94%, 10.83%,  2.17%,  0.00%,  0.00%,  0.28%,  1.26%,  0.00%,  0.00%,  0.15%,  0.54%, 103901.85, 6695.27, 8109.95, 976283.39 , 18, 231, 128.52, 19, 168, 132.40, 93, 182, 123.42, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 100.00%, 0.00%, 0.00%, 0.00%, 77.79%, 0.00%,0.00%, 4.47%, 14.02%, 1.99%, 0.12%, 1.36%, 0.25%, 66.29%, 1.25%,0.00%, 15.17%, 14.54%, 0.66%, 0.34%, 1.31%, 0.44%, 62.58%, 3.17%,0.00%, 18.16%, 12.27%, 0.53%, 0.45%, 0.87%, 1.96%,0.00%, 503.3, 32.4, 287.7, 157.9, 952.9, 0.0, 717.2, 3.933, 35
2, P-SLICE,    4, 32.00,     291800, 0,1.26,34.819, 42.960, 44.446, 37.040,53, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.53%,  0.64%,  0.88%, 0.88%,  0.72%,  2.42%, 1.85%,  1.09%,  8.47%, 0.00%,  0.00%,  0.12%,  2.42%,  2.04%, 11.72%,  9.23%, 32.28%, 17.39%,  0.00%,  0.04%,  0.65%,  2.56%,  0.00%,  0.05%,  0.73%,  3.27%, 92691.72, 6026.18, 6053.50, 375848.75 , 19, 232, 135.70, 21, 170, 133.33, 94, 176, 123.08, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 66.67%, 11.11%, 22.22%, 0.00%, 31.11%, 1.41%,0.00%, 14.75%, 21.82%, 20.61%, 6.46%, 3.33%, 0.51%, 14.56%, 5.03%,0.00%, 24.92%, 22.01%, 17.54%, 12.60%, 2.13%, 1.21%, 16.10%, 8.22%,0.00%, 20.37%, 30.79%, 3.50%, 16.57%, 1.11%, 3.33%,0.00%, 517.5, 140.2, 272.6, 158.5, 819.0, 0.0, 809.9, 3.629, 29
3, B-SLICE,    3, 33.00,     499816, 0,1.17,33.167, 41.476, 43.321, 35.475,55, 1 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.43%,  0.22%, 14.23%,  2.55%, 20.63%,  7.54%, 33.13%, 14.68%,  0.00%,  0.00%,  0.36%,  2.82%,  0.00%,  0.00%,  0.29%,  3.13%, 134873.84, 7930.15, 8357.47, 1662961.37 , 16, 233, 126.73, 18, 148, 132.26, 99, 171, 123.81, 0.00%, 0.00%,0.00%, 24.14%, 41.38%, 15.52%, 1.72%, 12.07%, 5.17%, 0.00%, 0.00%,0.00%, 27.07%, 57.73%, 8.20%, 2.33%, 4.07%, 0.60%, 0.00%, 2.10%,0.00%, 24.06%, 49.42%, 10.58%, 9.35%, 3.15%, 1.34%, 0.00%, 9.84%,0.00%, 23.41%, 42.49%, 4.12%, 11.78%, 1.98%, 6.38%,0.00%, 524.5, 270.0, 257.8, 130.5, 933.9, 0.0, 936.4, 4.539, 84
4, b-SLICE,    2, 34.00,     362400, 0,1.90,31.189, 41.230, 43.201, 33.945,57, 1 0 ,3 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  0.19%,  6.25%,  3.06%, 12.90%,  9.05%, 29.07%, 28.02%,  0.00%,  0.08%,  0.62%,  4.04%,  0.00%,  0.25%,  1.31%,  5.08%, 206412.42, 8244.29, 13233.59, 715549.89 , 16, 233, 121.28, 21, 149, 131.63, 96, 170, 124.12, 0.00%, 0.00%,0.00%, 29.41%, 0.00%, 32.35%, 20.59%, 14.71%, 2.94%, 0.00%, 3.39%,0.00%, 19.19%, 45.65%, 16.61%, 9.52%, 4.60%, 1.05%, 0.00%, 7.62%,0.00%, 23.10%, 33.54%, 15.48%, 14.19%, 3.41%, 2.67%, 0.00%, 12.87%,0.00%, 18.90%, 28.71%, 6.21%, 24.56%, 1.60%, 7.15%,0.00%, 531.4, 400.0, 276.3, 108.7, 943.1, 0.0, 1096.0, 4.209, 47
5, P-SLICE,    6, 32.00,     676680, 0,1.07,32.855, 42.712, 43.821, 35.458,54, 4 3 1 0 , -, 0.00%,  0.00%,  0.00%, 1.44%,  3.37%,  1.68%, 1.68%,  2.95%,  6.42%, 3.73%,  3.79%, 21.04%, 0.00%,  0.02%,  0.03%,  4.14%,  0.79%, 10.06%,  1.16%, 22.56%,  7.37%,  0.00%,  0.05%,  0.29%,  3.35%,  0.00%,  0.03%,  0.69%,  3.35%, 140494.00, 6553.17, 9468.53, 971874.56 , 16, 235, 146.47, 19, 176, 136.24, 77, 196, 121.55, 0.00%, 0.00%,0.00%, 33.33%, 0.00%, 66.67%, 0.00%, 0.00%, 0.00%, 56.38%, 0.70%,0.00%, 10.52%, 25.53%, 3.93%, 0.98%, 1.96%, 0.00%, 44.65%, 3.98%,0.00%, 20.99%, 25.68%, 1.86%, 0.55%, 1.53%, 0.75%, 40.77%, 9.58%,0.00%, 16.80%, 22.33%, 1.12%, 3.67%, 0.79%, 4.94%,0.00%, 3.7, 219.5, 278.7, 108.7, 1174.7, 0.0, 1083.5, 5.359, 27
6, b-SLICE,    5, 34.00,     190192, 0,1.14,32.811, 42.454, 44.175, 35.437,56, 4 3 1 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  0.24%,  7.53%,  5.83%, 19.25%, 11.27%, 29.86%, 12.72%,  0.00%,  0.06%,  1.23%,  3.64%,  0.00%,  0.54%,  1.75%,  6.01%, 141329.39, 6206.07, 11288.80, 635836.63 , 19, 233, 141.35, 22, 170, 134.74, 91, 183, 122.17, 0.00%, 0.00%,0.00%, 18.75%, 6.25%, 50.00%, 0.00%, 25.00%, 0.00%, 0.00%, 4.32%,0.00%, 16.26%, 37.70%, 23.02%, 11.51%, 4.96%, 2.23%, 0.00%, 8.41%,0.00%, 24.16%, 35.53%, 15.86%, 9.66%, 3.13%, 3.24%, 0.00%, 16.55%,0.00%, 25.86%, 35.76%, 2.74%, 9.91%, 1.62%, 7.55%,0.00%, 2.3, 225.9, 223.5, 140.1, 692.2, 0.0, 1150.4, 3.643, 44
7, P-SLICE,    7, 32.00,     720816, 0,2.23,32.694, 42.897, 44.113, 35.397,55, 6 4 3 1 , -, 0.00%,  0.00%,  0.00%, 1.16%,  3.57%,  1.07%, 1.61%,  2.85%,  5.92%, 3.34%,  3.20%, 18.64%, 0.00%,  0.12%,  0.10%,  4.13%,  1.29%,  9.83%,  2.30%, 22.43%,  8.30%,  0.00%,  0.05%,  0.54%,  3.67%,  0.00%,  0.27%,  1.06%,  4.55%, 146372.02, 6144.86, 8565.15, 883557.95 , 16, 235, 145.02, 22, 178, 136.28, 81, 195, 121.72, 0.00%, 0.00%,0.00%, 23.08%, 30.77%, 15.38%, 7.69%, 23.08%, 0.00%, 50.29%, 2.76%,0.00%, 9.45%, 26.31%, 5.52%, 2.33%, 2.18%, 1.16%, 40.48%, 6.21%,0.00%, 19.49%, 24.85%, 3.83%, 2.06%, 1.60%, 1.47%, 36.40%, 11.88%,0.00%, 17.65%, 22.07%, 1.49%, 4.23%, 1.15%, 5.13%,0.00%, 3.7, 117.7, 316.5, 140.1, 1169.1, 0.0, 1234.4, 4.186, 39
8, P-SLICE,   10, 32.00,     725752, 0,1.16,32.660, 43.038, 44.339, 35.417,53, 7 6 4 3 , -, 0.00%,  0.00%,  0.00%, 0.84%,  3.83%,  0.92%, 1.34%,  2.26%,  5.05%, 2.71%,  2.60%, 14.57%, 0.00%,  0.02%,  0.14%,  3.83%,  0.80%, 12.59%,  3.30%, 27.51%, 12.42%,  0.00%,  0.00%,  0.40%,  2.09%,  0.00%,  0.08%,  0.65%,  2.04%, 147216.96, 5967.35, 8704.51, 782177.98 , 18, 235, 142.69, 20, 175, 136.18, 83, 194, 121.88, 0.00%, 0.00%,0.00%, 10.00%, 0.00%, 55.00%, 5.00%, 30.00%, 0.00%, 54.33%, 0.77%,0.00%, 10.37%, 26.78%, 5.50%, 0.85%, 1.08%, 0.31%, 31.98%, 3.89%,0.00%, 22.20%, 29.74%, 7.92%, 1.68%, 1.74%, 0.85%, 28.92%, 6.01%,0.00%, 21.54%, 25.46%, 6.42%, 6.15%, 1.35%, 4.15%,0.00%, 4.0, 104.0, 363.5, 192.8, 1204.6, 0.9, 1376.4, 3.896, 23
9, B-SLICE,    9, 33.00,     777712, 0,1.12,31.403, 42.048, 43.580, 34.256,55, 7 6 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.83%,  0.49%, 20.42%,  2.24%, 26.22%,  3.16%, 33.22%,  8.72%,  0.00%,  0.03%,  0.20%,  1.20%,  0.00%,  0.03%,  0.52%,  2.73%, 197517.69, 7101.26, 10332.57, 1462555.30 , 16, 234, 134.53, 21, 147, 135.47, 106, 184, 122.68, 0.00%, 0.00%,0.00%, 47.83%, 15.22%, 17.39%, 2.17%, 16.30%, 1.09%, 0.00%, 0.25%,0.00%, 27.02%, 62.88%, 5.68%, 0.63%, 2.97%, 0.57%, 0.00%, 2.19%,0.00%, 28.83%, 59.33%, 2.94%, 2.15%, 2.94%, 1.62%, 0.00%, 7.21%,0.00%, 28.42%, 48.37%, 2.24%, 5.55%, 1.63%, 6.58%,0.00%, 2.4, 122.9, 343.1, 175.0, 1113.0, 0.0, 1533.6, 3.930, 29
