Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,    1388904, 0,0.00,34.486, 41.587, 43.649, 36.519,55,  -, -, 0.00%,  0.00%,  0.00%, 0.49%,  1.94%,  0.88%, 2.38%,  3.74%,  6.37%, 6.55%,  5.73%, 24.50%,47.43%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 93619.37, 7874.85, 7729.48, 872469.08 , 16, 235, 147.98, 45, 142, 125.43, 117, 169, 127.86, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.95%, 0.00%,0.00%, 6.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.32%, 0.00%,0.00%, 6.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 439.0, 0.1, 413.1, 0.0, 1953.1, 0.0, 754.6, 5.771, 138
1, P-SLICE,    3, 32.00,    1020592, 0,2.40,31.900, 39.244, 41.990, 34.079,53, 0 , -, 0.00%,  0.00%,  0.00%, 0.59%,  3.44%,  0.56%, 1.95%,  3.99%,  6.92%, 5.92%,  5.45%, 31.24%, 0.00%,  0.01%,  0.12%,  1.74%,  0.41%,  9.23%,  1.41%, 18.71%,  5.62%,  0.00%,  0.00%,  0.03%,  1.44%,  0.00%,  0.00%,  0.05%,  1.16%, 174964.14, 12896.67, 10737.07, 1395244.52 , 16, 235, 147.90, 40, 142, 124.42, 115, 171, 128.33, 0.00%, 0.00%,0.00%, 0.00%, 10.00%, 45.00%, 5.00%, 40.00%, 0.00%, 68.16%, 0.00%,0.00%, 6.60%, 19.22%, 3.20%, 0.87%, 1.75%, 0.19%, 51.87%, 0.32%,0.00%, 16.25%, 25.86%, 2.27%, 0.63%, 2.06%, 0.74%, 57.99%, 3.54%,0.00%, 11.81%, 19.00%, 1.32%, 2.05%, 1.09%, 3.19%,0.00%, 532.7, 166.7, 291.5, 134.1, 1160.0, 0.0, 874.8, 4.754, 124
2, B-SLICE,    2, 33.00,     242696, 0,1.29,31.198, 39.369, 42.085, 33.580,55, 0 ,3 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.02%,  1.64%,  2.09%,  7.60%, 11.46%, 35.31%, 30.69%,  0.00%,  0.00%,  1.14%,  5.80%,  0.00%,  0.08%,  0.77%,  3.40%, 203663.07, 11607.09, 11275.54, 286676.56 , 16, 235, 146.96, 39, 142, 125.01, 115, 172, 128.03, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 50.00%, 50.00%, 0.00%, 0.00%, 0.00%, 2.17%,0.00%, 29.81%, 13.28%, 30.89%, 6.23%, 13.69%, 3.93%, 0.00%, 8.68%,0.00%, 29.78%, 9.25%, 33.03%, 5.66%, 9.91%, 3.68%, 0.00%, 11.75%,0.00%, 35.92%, 13.14%, 16.23%, 10.80%, 5.66%, 6.49%,0.00%, 539.5, 336.8, 170.9, 100.8, 676.0, 0.0, 935.5, 5.403, 134
3, b-SLICE,    1, 34.00,     231552, 0,1.53,31.203, 40.414, 42.981, 33.827,57, 0 ,2 3 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.12%,  0.04%,  3.53%,  2.68%, 11.72%, 13.68%, 33.44%, 26.79%,  0.00%,  0.07%,  0.74%,  4.60%,  0.00%,  0.01%,  0.44%,  2.14%, 202579.69, 9122.98, 12299.08, 310408.25 , 16, 235, 147.81, 39, 146, 125.25, 110, 170, 127.94, 0.00%, 0.00%,0.00%, 41.67%, 33.33%, 0.00%, 8.33%, 16.67%, 0.00%, 0.00%, 1.27%,0.00%, 36.29%, 19.83%, 8.02%, 1.48%, 28.69%, 4.43%, 0.00%, 4.25%,0.00%, 30.50%, 16.04%, 11.48%, 3.08%, 29.81%, 4.84%, 0.00%, 9.50%,0.00%, 38.65%, 14.10%, 9.45%, 4.57%, 15.68%, 8.05%,0.00%, 546.2, 450.5, 168.7, 42.2, 736.0, 0.0, 1059.0, 5.557, 115
4, P-SLICE,    5, 32.00,     835264, 0,2.74,32.526, 38.556, 41.435, 34.394,54, 3 2 0 , -, 0.00%,  0.00%,  0.00%, 0.54%,  2.11%,  1.24%, 2.36%,  3.54%,  9.25%, 6.81%,  5.34%, 35.58%, 0.00%,  0.03%,  0.01%,  2.02%,  0.43%,  8.45%,  0.63%, 15.42%,  4.21%,  0.00%,  0.00%,  0.08%,  0.99%,  0.00%,  0.00%,  0.01%,  0.96%, 152109.55, 15185.66, 12426.38, 1468247.30 , 16, 234, 152.53, 40, 142, 123.46, 116, 177, 128.55, 0.00%, 0.00%,0.00%, 33.33%, 33.33%, 33.33%, 0.00%, 0.00%, 0.00%, 61.60%, 0.00%,0.00%, 9.00%, 23.00%, 3.50%, 0.50%, 2.60%, 0.20%, 59.42%, 0.35%,0.00%, 12.40%, 25.35%, 0.69%, 0.50%, 0.69%, 0.60%, 65.29%, 2.66%,0.00%, 9.78%, 16.52%, 0.35%, 2.18%, 0.41%, 2.82%,0.00%, 552.6, 444.0, 286.2, 42.2, 1337.3, 0.0, 1157.8, 5.783, 136
5, b-SLICE,    4, 34.00,     147600, 0,2.81,31.579, 38.438, 41.466, 33.673,56, 3 2 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.18%,  0.11%,  7.27%,  7.69%, 19.55%, 15.58%, 19.20%, 11.75%,  0.00%,  0.69%,  1.61%,  7.41%,  0.00%,  1.40%,  2.18%,  5.39%, 185566.50, 13908.58, 13086.62, 286541.55 , 16, 235, 150.04, 40, 143, 123.65, 113, 173, 128.47, 0.00%, 0.00%,0.00%, 38.46%, 23.08%, 19.23%, 3.85%, 11.54%, 3.85%, 0.00%, 12.25%,0.00%, 22.48%, 20.19%, 16.62%, 11.64%, 11.91%, 4.91%, 0.00%, 9.23%,0.00%, 37.30%, 15.49%, 15.35%, 7.86%, 7.52%, 7.24%, 0.00%, 25.27%,0.00%, 31.52%, 20.02%, 4.69%, 6.09%, 2.11%, 10.30%,0.00%, 2.4, 316.3, 162.1, 95.4, 665.5, 0.0, 1212.4, 5.551, 163
6, P-SLICE,    6, 32.00,     499000, 0,1.31,33.451, 38.962, 41.902, 35.197,55, 5 3 2 0 , -, 0.00%,  0.00%,  0.00%, 0.19%,  0.34%,  0.42%, 0.78%,  0.78%,  3.41%, 2.14%,  1.85%, 18.08%, 0.00%,  0.05%,  0.07%,  2.45%,  0.37%,  8.62%,  2.46%, 31.00%, 22.67%,  0.00%,  0.00%,  0.14%,  2.36%,  0.00%,  0.00%,  0.16%,  1.69%, 126917.36, 13663.36, 9303.30, 536543.44 , 16, 234, 154.97, 40, 143, 124.67, 116, 172, 127.95, 0.00%, 0.00%,0.00%, 8.33%, 33.33%, 20.83%, 4.17%, 33.33%, 0.00%, 25.13%, 0.00%,0.00%, 15.61%, 49.47%, 4.76%, 0.79%, 3.57%, 0.66%, 28.76%, 1.73%,0.00%, 17.58%, 37.69%, 8.21%, 1.76%, 2.45%, 1.82%, 26.66%, 4.89%,0.00%, 25.32%, 15.74%, 11.56%, 7.57%, 4.35%, 3.92%,0.00%, 4.0, 176.0, 253.5, 95.5, 1098.7, 0.0, 1294.8, 5.438, 156
7, P-SLICE,   10, 32.00,     872112, 0,1.33,32.320, 40.784, 43.012, 34.714,52, 6 5 3 2 , -, 0.00%,  0.00%,  0.00%, 0.46%,  2.70%,  0.87%, 2.03%,  5.72%,  6.41%, 4.24%,  4.34%, 27.64%, 0.00%,  0.06%,  0.09%,  3.13%,  0.42%, 14.06%,  0.91%, 21.33%,  3.28%,  0.00%,  0.00%,  0.06%,  1.13%,  0.00%,  0.00%,  0.04%,  1.06%, 159883.47, 9454.99, 9776.16, 1431052.92 , 16, 234, 144.60, 54, 145, 127.30, 115, 168, 126.85, 0.00%, 0.00%,0.00%, 0.00%, 40.00%, 20.00%, 0.00%, 40.00%, 0.00%, 53.15%, 0.00%,0.00%, 10.90%, 30.40%, 3.06%, 0.38%, 2.01%, 0.10%, 46.32%, 0.33%,0.00%, 19.41%, 30.94%, 0.93%, 0.40%, 0.97%, 0.69%, 53.75%, 3.25%,0.00%, 15.03%, 23.11%, 0.27%, 1.91%, 0.51%, 2.19%,0.00%, 2.4, 292.4, 284.9, 74.4, 1257.1, 0.0, 1479.0, 5.397, 136
8, B-SLICE,    8, 33.00,     560184, 0,1.06,31.888, 39.239, 42.189, 34.094,55, 6 5 2 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.16%,  0.09%,  7.81%,  1.55%, 16.78%,  7.94%, 37.47%, 22.65%,  0.00%,  0.00%,  0.17%,  1.62%,  0.00%,  0.03%,  0.43%,  3.31%, 177700.50, 12023.57, 11627.32, 784390.31 , 16, 234, 151.57, 49, 144, 126.02, 115, 168, 127.55, 0.00%, 0.00%,0.00%, 18.75%, 43.75%, 25.00%, 0.00%, 9.38%, 3.12%, 0.00%, 0.33%,0.00%, 29.26%, 53.88%, 3.47%, 1.32%, 9.67%, 2.07%, 0.00%, 2.26%,0.00%, 24.51%, 43.55%, 3.95%, 1.97%, 17.89%, 5.87%, 0.00%, 7.06%,0.00%, 23.91%, 36.54%, 4.48%, 4.39%, 11.16%, 12.46%,0.00%, 3.8, 328.8, 246.2, 111.0, 988.6, 0.0, 1605.3, 5.142, 132
9, b-SLICE,    7, 34.00,     211616, 0,1.01,31.354, 39.045, 42.111, 33.660,57, 6 5 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.29%,  0.19%,  7.95%,  4.17%, 17.56%, 10.34%, 31.00%, 16.06%,  0.00%,  0.08%,  1.05%,  3.96%,  0.00%,  0.29%,  1.68%,  5.39%, 194750.21, 12065.21, 14490.06, 351991.17 , 16, 235, 152.20, 44, 147, 125.61, 117, 171, 127.68, 0.00%, 0.00%,0.00%, 44.00%, 16.00%, 8.00%, 4.00%, 24.00%, 4.00%, 0.00%, 2.91%,0.00%, 31.09%, 32.62%, 3.52%, 2.30%, 19.22%, 8.35%, 0.00%, 8.44%,0.00%, 34.10%, 25.55%, 4.40%, 2.98%, 14.28%, 10.27%, 0.00%, 15.04%,0.00%, 27.52%, 31.61%, 2.72%, 5.12%, 3.98%, 14.01%,0.00%, 0.0, 365.1, 173.9, 81.9, 666.9, 0.0, 1687.4, 5.255, 113
