Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     424984, 0,0.00,37.704, 46.182, 45.316, 39.715,55,  -, -, 0.00%,  0.00%,  0.00%, 1.50%,  1.54%,  4.02%, 3.77%,  1.90%, 11.36%, 7.96%,  3.34%, 30.81%,33.81%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 45390.36, 3739.34, 7200.98, 290283.70 , 22, 235, 167.07, 94, 147, 129.75, 110, 192, 127.94, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.91%, 0.00%,0.00%, 6.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.10%, 0.00%,0.00%, 7.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 377.3, 0.1, 240.7, 0.0, 1023.3, 0.0, 520.0, 5.922, 96
1, P-SLICE,    1, 32.00,     178824, 0,1.04,37.189, 45.304, 44.628, 39.133,55, 0 , -, 0.00%,  0.00%,  0.00%, 0.27%,  0.25%,  1.63%, 1.17%,  0.82%,  3.93%, 2.87%,  3.13%, 16.91%, 0.00%,  0.32%,  0.06%,  4.52%,  1.66%, 10.82%,  4.88%, 25.66%, 10.37%,  0.00%,  0.33%,  0.93%,  4.17%,  0.02%,  0.79%,  1.31%,  3.19%, 54221.32, 4377.15, 6681.19, 518172.68 , 23, 235, 163.77, 95, 148, 130.50, 109, 190, 127.06, 0.00%, 4.00%,0.00%, 32.00%, 48.00%, 4.00%, 4.00%, 8.00%, 0.00%, 22.74%, 11.87%,0.00%, 15.38%, 32.44%, 9.20%, 3.85%, 3.18%, 1.34%, 23.39%, 8.86%,0.00%, 26.58%, 21.90%, 9.48%, 4.62%, 3.56%, 1.62%, 32.24%, 10.36%,0.00%, 23.67%, 19.13%, 3.07%, 4.93%, 2.40%, 4.20%,0.00%, 469.9, 36.7, 155.1, 104.3, 590.2, 0.0, 554.8, 4.672, 121
2, P-SLICE,    5, 32.00,     661664, 0,1.77,34.928, 42.513, 42.516, 36.825,52, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.32%,  0.48%,  1.40%, 1.10%,  0.95%,  7.57%, 6.56%,  7.35%, 38.74%, 0.00%,  0.01%,  0.01%,  0.69%,  0.12%,  2.33%,  1.38%, 17.21%, 11.54%,  0.00%,  0.04%,  0.08%,  1.46%,  0.00%,  0.03%,  0.09%,  0.57%, 97616.79, 8378.50, 7044.25, 2165027.02 , 21, 235, 161.47, 92, 156, 134.94, 103, 189, 122.21, 0.00%, 0.00%,0.00%, 0.00%, 50.00%, 0.00%, 50.00%, 0.00%, 0.00%, 71.51%, 1.99%,0.00%, 5.41%, 17.09%, 2.42%, 0.43%, 1.00%, 0.14%, 67.24%, 1.17%,0.00%, 12.70%, 9.26%, 5.15%, 1.17%, 2.76%, 0.55%, 61.18%, 2.35%,0.00%, 13.00%, 10.07%, 2.40%, 4.04%, 2.00%, 4.97%,0.00%, 480.3, 129.9, 220.5, 45.5, 1109.1, 0.0, 701.5, 6.519, 89
3, B-SLICE,    3, 33.00,     313712, 0,1.48,35.468, 43.147, 42.988, 37.368,55, 1 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.16%,  0.05%,  3.75%,  1.58%,  8.09%,  7.44%, 38.56%, 26.44%,  0.00%,  0.10%,  0.78%,  5.14%,  0.01%,  0.61%,  1.15%,  6.15%, 83374.99, 6763.46, 6672.50, 887086.91 , 21, 235, 160.27, 98, 149, 132.43, 109, 190, 125.46, 0.00%, 5.56%,0.00%, 16.67%, 55.56%, 5.56%, 5.56%, 5.56%, 5.56%, 0.00%, 11.71%,0.00%, 15.08%, 47.02%, 11.90%, 4.76%, 6.85%, 2.68%, 0.00%, 10.39%,0.00%, 26.08%, 23.43%, 18.92%, 9.36%, 8.26%, 3.55%, 0.00%, 14.13%,0.00%, 28.22%, 24.55%, 10.74%, 9.31%, 6.31%, 6.74%,0.00%, 487.4, 252.6, 166.5, 75.5, 687.1, 0.0, 788.5, 5.542, 166
4, b-SLICE,    2, 34.00,     123640, 0,1.75,36.560, 44.333, 43.994, 38.461,57, 1 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.61%,  0.27%,  6.03%,  4.56%, 11.26%,  8.89%, 29.80%, 14.90%,  0.00%,  0.43%,  1.66%,  6.25%,  0.08%,  2.37%,  3.62%,  9.28%, 62519.85, 5082.35, 6252.06, 386465.58 , 22, 235, 163.59, 89, 147, 131.22, 109, 190, 126.37, 0.00%, 8.51%,0.00%, 12.77%, 51.06%, 15.96%, 5.32%, 4.26%, 2.13%, 0.00%, 20.92%,0.00%, 10.99%, 34.05%, 12.98%, 11.30%, 6.26%, 3.51%, 0.00%, 19.31%,0.00%, 30.99%, 17.14%, 10.18%, 9.58%, 6.77%, 6.03%, 0.00%, 23.40%,0.00%, 29.96%, 24.20%, 5.43%, 7.53%, 3.20%, 6.28%,0.00%, 494.2, 349.9, 118.8, 52.8, 512.2, 0.0, 850.8, 5.687, 166
5, b-SLICE,    4, 34.00,     316696, 0,1.18,34.042, 42.090, 42.392, 36.091,56, 3 1 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.04%,  1.97%,  1.83%,  7.51%,  8.10%, 40.95%, 23.50%,  0.00%,  0.18%,  0.76%,  6.92%,  0.03%,  0.76%,  1.02%,  6.38%, 115254.99, 7875.41, 7301.62, 844809.09 , 19, 235, 163.70, 93, 157, 134.16, 100, 190, 123.19, 0.00%, 33.33%,0.00%, 0.00%, 22.22%, 11.11%, 11.11%, 16.67%, 5.56%, 0.00%, 19.86%,0.00%, 16.03%, 25.51%, 16.25%, 9.71%, 9.59%, 3.05%, 0.00%, 9.68%,0.00%, 29.80%, 16.44%, 20.17%, 8.51%, 10.87%, 4.52%, 0.00%, 16.42%,0.00%, 28.98%, 25.57%, 7.95%, 9.73%, 4.75%, 6.59%,0.00%, 2.4, 223.6, 160.5, 52.9, 764.1, 0.0, 880.4, 5.954, 109
6, P-SLICE,    8, 32.00,     250584, 0,1.14,35.605, 45.187, 44.187, 37.876,53, 5 3 1 0 , -, 0.00%,  0.00%,  0.00%, 0.19%,  0.20%,  0.87%, 0.76%,  0.46%,  3.27%, 1.57%,  1.72%, 11.77%, 0.00%,  0.10%,  0.07%,  4.34%,  1.01%, 11.73%,  5.18%, 27.07%, 12.38%,  0.00%,  0.26%,  1.86%,  5.26%,  0.03%,  0.92%,  3.16%,  5.81%, 75880.70, 4794.55, 9051.71, 275894.85 , 21, 235, 165.26, 87, 148, 130.35, 107, 193, 127.28, 0.00%, 14.29%,0.00%, 7.14%, 42.86%, 14.29%, 0.00%, 17.86%, 3.57%, 16.11%, 15.19%,0.00%, 17.04%, 38.70%, 2.87%, 1.94%, 5.83%, 2.31%, 16.22%, 18.09%,0.00%, 22.09%, 24.95%, 5.09%, 1.82%, 8.58%, 3.17%, 21.53%, 15.84%,0.00%, 27.10%, 17.82%, 2.69%, 3.99%, 4.34%, 6.67%,0.00%, 2.7, 179.7, 194.0, 52.9, 771.1, 0.0, 895.3, 5.064, 207
7, B-SLICE,    7, 33.00,     368320, 0,2.06,34.800, 42.893, 42.593, 36.786,55, 5 3 1 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.04%,  0.02%,  3.02%,  1.23%,  7.16%,  6.83%, 42.12%, 25.82%,  0.00%,  0.19%,  0.57%,  5.42%,  0.00%,  0.66%,  1.14%,  5.78%, 97038.19, 7343.60, 7359.25, 792427.31 , 21, 235, 164.03, 95, 158, 132.97, 103, 191, 124.85, 0.00%, 0.00%,0.00%, 0.00%, 66.67%, 16.67%, 0.00%, 16.67%, 0.00%, 0.00%, 16.67%,0.00%, 14.79%, 44.38%, 8.23%, 2.60%, 9.48%, 3.85%, 0.00%, 10.27%,0.00%, 24.23%, 24.55%, 14.48%, 4.40%, 17.25%, 4.82%, 0.00%, 13.61%,0.00%, 29.24%, 25.80%, 7.55%, 7.78%, 8.10%, 7.93%,0.00%, 2.4, 125.5, 184.5, 70.7, 789.5, 0.0, 1004.9, 5.557, 90
8, b-SLICE,    6, 34.00,     270920, 0,2.82,34.079, 42.270, 42.492, 36.154,57, 5 3 ,7 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.01%,  2.28%,  1.62%,  9.55%,  7.28%, 38.14%, 21.89%,  0.00%,  0.15%,  0.83%,  8.17%,  0.02%,  0.97%,  1.40%,  7.67%, 113211.23, 7666.89, 6946.95, 437533.87 , 20, 235, 163.65, 92, 153, 134.21, 100, 190, 123.07, 0.00%, 40.00%,0.00%, 40.00%, 0.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.37%,0.00%, 19.74%, 25.66%, 12.94%, 6.80%, 6.91%, 5.59%, 0.00%, 11.10%,0.00%, 35.00%, 17.64%, 14.92%, 7.06%, 9.97%, 4.31%, 0.00%, 20.00%,0.00%, 27.38%, 24.97%, 6.29%, 9.40%, 4.52%, 7.44%,0.00%, 2.5, 146.1, 166.6, 79.3, 751.5, 0.0, 1088.1, 5.704, 129
9, P-SLICE,   11, 32.00,     151136, 0,1.15,41.027, 45.523, 44.864, 42.069,53, 8 7 5 3 , -, 0.00%,  0.00%,  0.00%, 1.68%,  1.73%, 10.71%, 3.91%,  2.84%, 19.09%, 7.03%,  4.11%, 27.55%, 0.00%,  0.38%,  0.08%,  6.80%,  0.41%,  4.27%,  0.15%,  5.28%,  0.41%,  0.00%,  0.03%,  0.28%,  2.06%,  0.00%,  0.10%,  0.46%,  0.66%, 23301.80, 4203.24, 3358.39, 993876.12 , 27, 235, 170.24, 108, 146, 130.52, 110, 192, 127.36, 0.00%, 0.00%,0.00%, 16.67%, 66.67%, 8.33%, 2.78%, 5.56%, 0.00%, 65.80%, 0.59%,0.00%, 6.51%, 25.21%, 0.59%, 0.36%, 0.89%, 0.06%, 77.53%, 2.21%,0.00%, 10.97%, 8.83%, 0.11%, 0.11%, 0.15%, 0.08%, 70.69%, 4.96%,0.00%, 18.37%, 5.24%, 0.14%, 0.19%, 0.05%, 0.37%,0.00%, 2.3, 90.0, 217.9, 79.5, 1065.4, 0.0, 1117.2, 5.954, 96
