Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 29.00,     761544, 0,0.00,36.519, 43.625, 44.488, 38.404,55,  -, -, 0.00%,  0.00%,  0.00%, 0.61%,  1.02%,  1.76%, 2.88%,  2.12%,  7.81%, 6.60%,  4.05%, 29.28%,43.88%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 59482.18, 5494.31, 5816.34, 521817.33 , 16, 235, 135.73, 31, 196, 132.75, 81, 179, 122.56, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.03%, 0.00%,0.00%, 5.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.75%, 0.00%,0.00%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 405.7, 0.1, 327.7, 0.0, 1333.7, 0.0, 632.5, 5.470, 94
1, P-SLICE,    1, 32.00,     226736, 0,1.42,34.096, 42.851, 44.021, 36.431,55, 0 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.24%,  0.24%, 0.21%,  0.24%,  1.03%, 0.78%,  0.70%,  4.74%, 0.00%,  0.11%,  0.04%,  2.25%,  1.78%, 13.90%, 10.88%, 28.31%, 17.25%,  0.00%,  0.21%,  1.24%,  4.86%,  0.00%,  0.65%,  2.95%,  7.33%, 103798.41, 6411.66, 8496.88, 256996.86 , 16, 235, 138.41, 28, 197, 132.60, 96, 177, 122.95, 0.00%, 0.00%,0.00%, 9.09%, 63.64%, 13.64%, 4.55%, 0.00%, 9.09%, 10.17%, 15.74%,0.00%, 18.89%, 22.52%, 13.44%, 3.51%, 10.29%, 5.45%, 4.66%, 13.23%,0.00%, 30.92%, 16.81%, 18.96%, 5.35%, 6.18%, 3.89%, 9.15%, 17.94%,0.00%, 31.94%, 15.57%, 5.80%, 6.96%, 5.41%, 7.21%,0.00%, 500.7, 27.5, 263.7, 190.0, 501.3, 8.8, 681.7, 2.658, 37
2, P-SLICE,    6, 32.00,     527008, 0,1.84,33.987, 42.129, 43.363, 36.177,51, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.89%,  1.09%,  2.78%, 2.11%,  1.76%,  9.04%, 5.84%,  4.07%, 32.19%, 0.00%,  0.01%,  0.03%,  2.07%,  0.74%,  7.35%,  1.51%, 16.81%,  5.16%,  0.00%,  0.13%,  0.56%,  1.86%,  0.00%,  0.71%,  1.13%,  2.15%, 110292.01, 7486.51, 8199.99, 1208058.32 , 16, 235, 152.32, 29, 170, 132.27, 98, 177, 122.94, 0.00%, 0.00%,0.00%, 33.33%, 0.00%, 33.33%, 0.00%, 0.00%, 33.33%, 56.64%, 9.97%,0.00%, 6.31%, 18.27%, 3.74%, 1.41%, 3.07%, 0.58%, 52.17%, 6.83%,0.00%, 15.58%, 19.31%, 2.43%, 1.19%, 1.67%, 0.82%, 58.24%, 5.55%,0.00%, 13.34%, 15.74%, 0.99%, 2.69%, 0.58%, 2.88%,0.00%, 511.4, 103.8, 317.1, 172.2, 966.0, 0.0, 795.3, 3.780, 24
3, B-SLICE,    4, 33.00,     641544, 0,1.33,32.343, 41.503, 42.605, 34.771,54, 1 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.10%,  0.12%, 12.51%,  1.53%, 23.87%,  3.17%, 36.68%, 12.35%,  0.00%,  0.20%,  0.58%,  1.59%,  0.00%,  0.76%,  1.63%,  4.90%, 161636.93, 8420.88, 9458.45, 2278382.53 , 16, 235, 139.54, 30, 162, 132.71, 96, 182, 123.38, 0.00%, 0.00%,0.00%, 9.09%, 36.36%, 36.36%, 0.00%, 9.09%, 9.09%, 0.00%, 6.37%,0.00%, 25.37%, 58.03%, 5.31%, 0.66%, 2.99%, 1.26%, 0.00%, 7.12%,0.00%, 24.81%, 57.88%, 3.33%, 2.05%, 2.72%, 2.08%, 0.00%, 10.56%,0.00%, 20.69%, 48.67%, 2.88%, 7.06%, 1.89%, 8.24%,0.00%, 518.6, 252.7, 275.0, 148.0, 891.7, 0.0, 918.7, 3.951, 28
4, b-SLICE,    2, 34.00,     120032, 0,1.77,33.407, 42.680, 43.671, 35.849,57, 1 0 ,4 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  0.22%,  3.44%,  5.51%, 10.38%, 17.70%, 20.04%, 20.26%,  0.00%,  0.47%,  2.11%,  5.58%,  0.09%,  1.55%,  3.96%,  8.48%, 122791.99, 6378.85, 8415.27, 200055.66 , 16, 235, 138.54, 30, 197, 132.99, 96, 176, 122.67, 0.00%, 17.86%,0.00%, 21.43%, 17.86%, 19.64%, 5.36%, 16.07%, 1.79%, 0.00%, 18.40%,0.00%, 18.06%, 13.29%, 24.02%, 13.80%, 6.30%, 6.13%, 0.00%, 16.92%,0.00%, 19.42%, 14.32%, 19.52%, 19.21%, 5.65%, 4.97%, 0.00%, 23.44%,0.00%, 23.60%, 19.18%, 5.93%, 13.78%, 4.19%, 9.88%,0.00%, 525.5, 356.5, 230.6, 152.9, 527.4, 0.0, 996.7, 2.965, 34
5, b-SLICE,    3, 34.00,     165784, 0,1.56,32.545, 42.132, 43.495, 35.112,57, 1 0 ,4 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.06%,  0.08%,  2.48%,  2.29%, 11.47%, 12.36%, 25.60%, 29.98%,  0.00%,  0.21%,  1.12%,  4.85%,  0.04%,  0.63%,  2.13%,  6.68%, 151151.51, 6899.38, 9646.30, 288507.66 , 16, 235, 139.42, 29, 197, 132.89, 96, 179, 122.87, 0.00%, 21.43%,0.00%, 21.43%, 14.29%, 10.71%, 3.57%, 21.43%, 7.14%, 0.00%, 14.98%,0.00%, 23.96%, 20.28%, 19.47%, 7.03%, 9.22%, 5.07%, 0.00%, 11.52%,0.00%, 28.53%, 16.23%, 19.34%, 14.95%, 4.87%, 4.55%, 0.00%, 16.24%,0.00%, 22.07%, 19.46%, 8.67%, 21.52%, 3.56%, 8.48%,0.00%, 2.3, 146.2, 254.0, 152.9, 701.4, 0.0, 1014.5, 3.386, 25
6, b-SLICE,    5, 34.00,     181984, 0,1.32,32.279, 41.766, 42.940, 34.797,56, 4 1 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.06%,  0.12%,  2.98%,  3.78%, 11.63%, 14.23%, 24.13%, 24.46%,  0.00%,  0.25%,  1.48%,  5.16%,  0.08%,  1.28%,  2.55%,  7.81%, 160969.90, 7817.99, 10331.55, 503082.61 , 16, 235, 148.11, 30, 166, 132.82, 97, 179, 123.06, 0.00%, 29.41%,0.00%, 17.65%, 5.88%, 8.82%, 2.94%, 23.53%, 11.76%, 0.00%, 18.44%,0.00%, 17.32%, 18.62%, 21.14%, 11.82%, 7.36%, 5.31%, 0.00%, 12.87%,0.00%, 22.78%, 18.89%, 17.95%, 17.55%, 5.77%, 4.19%, 0.00%, 19.59%,0.00%, 20.64%, 22.83%, 7.51%, 19.96%, 2.57%, 6.90%,0.00%, 3.0, 87.3, 254.1, 152.9, 680.2, 0.0, 1006.1, 3.075, 53
7, P-SLICE,   12, 32.00,     403872, 0,1.56,34.837, 42.757, 43.993, 36.972,50, 6 4 1 0 , -, 0.00%,  0.00%,  0.00%, 0.39%,  0.60%,  1.70%, 1.41%,  1.15%,  6.37%, 3.65%,  2.98%, 21.09%, 0.00%,  0.16%,  0.10%,  3.29%,  1.22%, 11.18%,  3.38%, 24.76%,  9.41%,  0.00%,  0.03%,  0.53%,  2.86%,  0.01%,  0.42%,  1.31%,  1.99%, 92499.44, 6431.13, 6464.80, 656327.34 , 16, 235, 137.47, 27, 195, 132.45, 75, 183, 122.57, 0.00%, 5.26%,0.00%, 15.79%, 42.11%, 5.26%, 0.00%, 31.58%, 0.00%, 35.15%, 5.83%,0.00%, 9.96%, 33.08%, 3.76%, 1.50%, 8.08%, 2.63%, 33.51%, 6.91%,0.00%, 23.31%, 23.58%, 4.56%, 2.40%, 3.59%, 2.13%, 39.01%, 6.82%,0.00%, 21.48%, 19.45%, 2.65%, 3.60%, 2.63%, 4.35%,0.00%, 2.4, 4.5, 245.1, 95.8, 1022.1, 0.0, 1020.7, 4.899, 65
8, B-SLICE,    9, 33.00,     196488, 0,1.48,33.078, 41.996, 43.290, 35.470,54, 6 4 1 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.11%,  0.08%,  2.01%,  3.22%,  9.47%, 13.55%, 22.64%, 28.83%,  0.00%,  0.31%,  1.44%,  5.53%,  0.07%,  1.04%,  2.77%,  8.93%, 133233.30, 7166.58, 9408.58, 267862.66 , 16, 235, 152.88, 29, 191, 132.70, 81, 175, 122.87, 0.00%, 26.32%,0.00%, 26.32%, 15.79%, 15.79%, 5.26%, 7.89%, 2.63%, 0.00%, 20.46%,0.00%, 9.70%, 20.89%, 19.41%, 14.56%, 9.28%, 5.70%, 0.00%, 14.79%,0.00%, 20.62%, 17.07%, 15.71%, 20.14%, 6.69%, 4.99%, 0.00%, 20.63%,0.00%, 19.34%, 18.91%, 6.30%, 19.45%, 5.22%, 10.15%,0.00%, 5.3, 0.0, 220.4, 121.0, 636.4, 0.0, 1121.9, 3.528, 34
9, b-SLICE,    7, 34.00,     109864, 0,1.71,33.014, 41.512, 43.128, 35.340,57, 6 4 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.29%,  0.17%,  6.86%,  7.70%, 15.68%,  8.51%, 18.44%, 16.11%,  0.00%,  0.95%,  1.95%,  5.62%,  0.19%,  2.84%,  5.34%,  9.36%, 132161.15, 7777.39, 10827.89, 223591.94 , 16, 235, 155.13, 28, 187, 132.23, 81, 175, 123.01, 0.00%, 29.63%,0.00%, 29.63%, 14.81%, 16.67%, 5.56%, 1.85%, 1.85%, 0.00%, 20.65%,0.00%, 21.69%, 15.71%, 16.82%, 11.36%, 8.05%, 5.71%, 0.00%, 21.66%,0.00%, 28.10%, 24.98%, 4.49%, 6.76%, 5.52%, 8.49%, 0.00%, 26.43%,0.00%, 23.95%, 21.22%, 2.92%, 7.16%, 4.05%, 14.26%,0.00%, 2.7, 8.2, 197.4, 141.4, 484.5, 0.0, 1179.6, 2.977, 18
10, b-SLICE,    8, 34.00,     303672, 0,1.46,32.169, 41.929, 43.018, 34.745,57, 6 4 ,9 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.19%,  0.15%, 10.43%,  3.33%, 17.96%,  7.04%, 29.22%, 14.21%,  0.00%,  0.33%,  1.64%,  5.30%,  0.21%,  0.79%,  2.60%,  6.61%, 165488.99, 7441.36, 9931.70, 510583.23 , 16, 235, 153.46, 30, 188, 133.22, 80, 179, 122.82, 0.00%, 38.46%,0.00%, 19.23%, 15.38%, 1.92%, 9.62%, 11.54%, 3.85%, 0.00%, 7.54%,0.00%, 24.02%, 46.09%, 9.08%, 4.33%, 5.45%, 3.49%, 0.00%, 13.61%,0.00%, 31.42%, 32.35%, 9.17%, 5.10%, 4.44%, 3.90%, 0.00%, 19.33%,0.00%, 26.45%, 31.14%, 4.47%, 7.37%, 2.40%, 8.84%,0.00%, 0.0, 0.0, 252.9, 128.8, 734.4, 0.0, 1243.3, 3.235, 35
11, b-SLICE,   10, 34.00,     216352, 0,1.44,32.822, 41.680, 43.051, 35.208,56, 9 6 4 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.02%,  0.09%,  4.95%,  3.05%, 13.77%, 10.11%, 27.50%, 20.38%,  0.00%,  0.35%,  1.70%,  5.71%,  0.08%,  0.96%,  2.80%,  8.54%, 144090.01, 7659.35, 9081.10, 368600.25 , 16, 235, 149.41, 27, 187, 132.41, 79, 179, 122.73, 0.00%, 41.67%,0.00%, 0.00%, 8.33%, 8.33%, 16.67%, 16.67%, 8.33%, 0.00%, 14.02%,0.00%, 17.40%, 35.81%, 12.67%, 5.74%, 8.36%, 6.00%, 0.00%, 15.08%,0.00%, 26.52%, 24.51%, 12.39%, 7.43%, 7.59%, 6.48%, 0.00%, 21.31%,0.00%, 24.98%, 23.24%, 5.03%, 10.04%, 4.62%, 10.78%,0.00%, 0.0, 0.0, 250.4, 126.2, 690.0, 0.0, 1237.9, 3.614, 30
